"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","unique-id","researcherid-numbers","orcid-numbers","article-number","eissn","editor","booktitle","isbn","note","organization","series","book-group-author"
"ISI:000337104400023","InProceedings","Carmine Difiglio and Brent Wanner","{ECONOMICS OF NUCLEAR POWER IN LIBERALIZED POWER MARKETS}",NA,"{2013}",NA,NA,"{271-287}",NA,"{Projections of electricity markets such as the International Energy
   Agency's (IEA) World Energy Outlook (WEO) or the Energy Information
   Administration's (EIA) Annual Energy Outlook (AEO) rely on estimated
   levelized costs for nuclear power and other power generation
   technologies. These levelized cost estimates show nuclear to be a very
   competitive power generating technology in most regions of the world.
   This paper analyzes unpublished data from the 2011 WEO to assess the
   competitiveness of nuclear power in liberalized and non-competitive
   power markets. We consider alternative estimates of nuclear capital
   costs (Risk Scenario) that might well be considered before investing in
   nuclear power in competitive markets without government guarantees. The
   Risk Scenario also assumes lower natural gas prices that could result
   from higher shale gas recovery in the United States and new shale gas
   development in Europe. The Risk Scenario causes the relative cost
   difference of nuclear power vs. natural gas to change by 5 cents/kWhr.
   Instead of nuclear power holding a competitive advantage over natural
   gas, in the Risk Scenario, natural gas gains a competitive advantage
   over nuclear power, even if a \$50/ton CO(2)e charge is assessed.
   The analysis suggests that nuclear power plants will not be built in
   liberalized power markets without government guarantees. If nuclear
   power plants built with government support or those built by state-owned
   power industries prove that nuclear power plants can be reliably built
   at a competitive cost, power plant economics will be a significant
   positive factor for the nuclear industry, especially taking into
   consideration national commitments to reduce greenhouse gas (GHG)
   emissions. If costs continue to increase over the estimates being used
   by the IEA and EIA, power-plant economics become a significant negative
   factor for the nuclear industry that may not be offset by pricing CO2
   emissions.
   These findings do not apply to reactor projects in many Asian countries.
   Nuclear power is estimated to enjoy a more favorable cost advantage than
   in the United States, Europe or Japan. In addition, private financing is
   less important in many Asian countries and delays due to licensing
   problems are less likely. Given the high electricity demand growth
   expected in Asia, more competitive costs, and government support, it is
   not surprising that over 60\% of currently-planned nuclear reactors are
   in Asia.}",NA,NA,"{ISI:000337104400023}",NA,NA,NA,NA,"{Ragaini, R}","{INTERNATIONAL SEMINAR ON NUCLEAR WAR AND PLANETARY EMERGENCIES: 45TH
   SESSION}","{978-981-4531-77-1}","{45th International Seminar on Nuclear War and Planetary Emergencies,
   Erice, ITALY, AUG 19-24, 2012}","{E Majorana Ctr Sci Culture}","{Science and Culture Series: Nuclear Strategy and Peace Technology}",NA
"ISI:000293810700021","Article","Mark Ames","{CBECS in Jeopardy?}","{ASHRAE JOURNAL}","{2011}","{53}","{8}","{80}","{AUG}","{Funding for the 2011 edition of the Commercial Buildings Energy
   Consumption Survey (CBECS) may be in jeopardy for the coming fiscal year
   as a result of report language inserted into the House Energy and Water
   funding bill for fiscal year 2012 that places severe restrictions on
   funding for federal energy consumption surveys administered by the
   Energy Information Administration (EIA), which includes CBECS.}",NA,"{0001-2491}","{ISI:000293810700021}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000250314200003","Article","Gyorgyi Cicas and Chris T. Hendrickson and Arpad Horvath and H. Scott Matthews","{A regional version of a US economic input-output life-cycle assessment
   model}","{INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT}","{2007}","{12}","{6}","{365-372}","{SEP}","{Background, Aims and Scope. Life cycle assessment models typically use
   product-specific, plant-level or national aggregate data. However, many
   decisions by regional policy makers would be better informed by local or
   regional aggregate data. This research is intended to construct and
   apply a regional US economic input-output analysis-based life cycle
   assessment (REIO-LCA) model based upon publicly available datasets. The
   model uses Gross State Product (GSP) estimates to calculate regional
   economic multipliers and then link them to regional electricity and fuel
   use, and air emission factors. Target audiences are governmental
   decision makers, industry experts and researchers concerned,with the
   regional economic and environmental effects of public and private
   decisions.
   Methods. A regional version of the existing US EIO-LCA model was
   developed using-regional economic multipliers and state environmental
   data. The national model is based on the US 491 by 491 economic
   input-output model, and uses sectoral energy consumption and emission
   factors to approximate the environmental effects of production and
   services. The proportion of the regional value added (Gross State
   Product) to the national value added for each sector was used to develop
   economic multipliers to allocate the output of industries to individual
   states and multi-state regions. Inter-sectoral transaction matrices were
   constructed for eight regions. Regional environmental emission and
   resource use factors were formed based upon publicly available data of
   the US Environmental Protection Agency (EPA) and Department of Energy.
   The Toxics Release Inventory include facility location parameters,
   enabling the estimation of sectoral toxic emissions for the regions. The
   national electricity and fuel use, air pollutants (CO, NOx, PM10, SO2
   and VOC) and greenhouse gas emissions used by the EIO-LCA model were
   proportioned based upon state totals for each sector.
   Results. A regional economic input-output model was created for US
   regions; and sectoral energy use and environmental emission factors were
   estimated for Pennsylvania, the Far West (Alaska, California, Hawaii,
   Nevada, Oregon and Washington) and the Mideast (Delaware, District of
   Columbia, Maryland, New Jersey, New York and Pennsylvania) economic
   areas. The use of the framework for regional IO-LCA model is
   demonstrated through two case studies.
   Discussion. As a validation exercise, the regional outputs of petroleum
   refineries were calculated using the regional input-output matrices and
   the outcomes were compared to the Energy Information Administration's
   (EIA) Petroleum State Profile data. The model results show that
   approximately 70\% of the total national sectoral production takes place
   in three regions, i.e., South West, South East and Far West, which
   corresponds with the EIA statistics. The REIO-LCA model constructed for
   the Far West is used to conduct a second case study estimating the
   annual toxic air emissions of power plants in the region in 2003. The
   results are evaluated by comparison to data provided by the US EPA. The
   estimated pollutions do not differ significantly from those presented in
   the Toxics Release Inventory reports.
   Conclusions. The usefulness of IO LCA models can be improved through the
   incorporation of local economic and environmental characteristics. Wiht
   the lack of US regional sectoral data, the allocation of national
   industrial production to regions can provide a framework to create
   smaller scale IO models. The results of case studies support the
   assumption that the GSP multipliers may be used to allocate the sectoral
   production to the regions, and show that the framework IO LCA model
   provides a reasonable approximation of supply chain economic activities
   and environmental effects caused by production and services.
   Recommendations and Perspectives. The quality of data, e.g., age and
   level of aggregation, and the assumed linearity between sectoral outputs
   and environmental emissions represent the main sources of uncertainty in
   the model. The results show that the GSP estimates are appropriate to
   construct a framework for a regional economic input-output and
   environmental assessment model. However, further research is recommended
   to construct more specific state-level input-output matrices
   incorporating interstate commodity flows, and state environmental
   factors in order to mitigate the parameter uncertainties. Further, the
   model might be improved by updating it regularly, as more recent data
   become available.}","{10.1065/lca2007.04.318}","{0948-3349}","{ISI:000250314200003}",NA,"{Hendrickson, Chris/0000-0002-9812-3580}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000242175900001","Article","Y. J. Meijer and D. P. J. Swart and F. Baier and P. K. Bhartia and G. E. Bodeker and S. Casadio and K. Chance and F. {Del Frate} and T. Erbertseder and M. D. Felder and L. E. Flynn and S. Godin-Beekmann and G. Hansen and O. P. Hasekamp and A. Kaifel and H. M. Kelder and B. J. Kerridge and J. -C. Lambert and J. Landgraf and B. Latter and X. Liu and I. S. McDermid and Y. Pachepsky and V. Rozanov and R. Siddans and S. Tellmann and R. J. {van der A} and R. F. {van Oss} and M. Weber and C. Zehner","{Evaluation of Global Ozone Monitoring Experiment (GOME) ozone profiles
   from nine different algorithms}","{JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES}","{2006}","{111}","{D21}",NA,"{NOV 15}","{{[}1] An evaluation is made of ozone profiles retrieved from
   measurements of the nadir-viewing Global Ozone Monitoring Experiment
   (GOME) instrument. Currently, four different approaches are used to
   retrieve ozone profile information from GOME measurements, which differ
   in the use of external information and a priori constraints. In total
   nine different algorithms will be evaluated exploiting the optimal
   estimation ( Royal Netherlands Meteorological Institute, Rutherford
   Appleton Laboratory, University of Bremen, National Oceanic and
   Atmospheric Administration, Smithsonian Astrophysical Observatory),
   Phillips-Tikhonov regularization ( Space Research Organization
   Netherlands), neural network ( Center for Solar Energy and Hydrogen
   Research, Tor Vergata University), and data assimilation ( German
   Aerospace Center) approaches. Analysis tools are used to interpret data
   sets that provide averaging kernels. In the interpretation of these
   data, the focus is on the vertical resolution, the indicative altitude
   of the retrieved value, and the fraction of a priori information. The
   evaluation is completed with a comparison of the results to lidar data
   from the Network for Detection of Stratospheric Change stations in
   Andoya ( Norway), Observatoire Haute Provence ( France), Mauna Loa (
   Hawaii), Lauder ( New Zealand), and Dumont d'Urville ( Antarctic) for
   the years 1997 - 1999. In total, the comparison involves nearly 1000
   ozone profiles and allows the analysis of GOME data measured in
   different global regions and hence observational circumstances. The main
   conclusion of this paper is that unambiguous information on the ozone
   profile can at best be retrieved in the altitude range 15 - 48 km with a
   vertical resolution of 10 to 15 km, precision of 5 - 10\%, and a bias up
   to 5\% or 20\% depending on the success of recalibration of the input
   spectra. The sensitivity of retrievals to ozone at lower altitudes
   varies from scheme to scheme and includes significant influence from a
   priori assumptions.}","{10.1029/2005JD006778}","{2169-897X}","{ISI:000242175900001}","{Flynn, Lawrence/B-6321-2009
   Weber, Mark/F-1409-2011
   Del Frate, Fabio/G-1413-2013
   Liu, Xiong/P-7186-2014
   Chance, Kelly/}","{Flynn, Lawrence/0000-0001-6856-2614
   Weber, Mark/0000-0001-8217-5450
   Liu, Xiong/0000-0003-2939-574X
   Chance, Kelly/0000-0002-7339-7577}","{D21306}",NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000181665500002","Article","JA Salem","{Public and private sector interests in e-government: a look at the DOE's
   PubSCIENCE}","{GOVERNMENT INFORMATION QUARTERLY}","{2003}","{20}","{1}","{13-27}",NA,"{As the federal government offers more online services and information to
   an increasingly connected America, public awareness and use are
   increasing as well. While federal agencies take advantage of information
   technology to provide services and information, some representatives of
   the computer, software, and communications industries occasionally raise
   concerns over the presence of the federal government in the emerging
   e-commerce market and in the market for commercial information
   providers. This debate follows a decade-long trend toward privatization
   of government functions as part of the Clinton Administration's push to
   reinvent government. The development of e-government is further
   complicated by a lack of clarity and consistency in policy and
   oversight. This paper explores the controversy surrounding the
   PubSCIENCE initiative from the Department of Energy to outline the
   issues involved in defining the boundaries between e-government and
   e-commerce in such a way that cooperation is developed and competition
   is avoided. (C) 2003 Elsevier Science Inc. All rights reserved.}","{10.1016/S0740-624X(02)00133-8}","{0740-624X}","{ISI:000181665500002}",NA,NA,"{PII S0740-624X(02)00133-8}",NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000089451700002","Article","GW Shepherd and RJ Kahler and J Cross","{Crane fatalities - a taxonomic analysis}","{SAFETY SCIENCE}","{2000}","{36}","{2}","{83-93}","{NOV}","{It should not be necessary for each generation to rediscover principles
   of safety which the generation before already discovered. We must learn
   from the experience of others rather than learn the hard way. We must
   pass onto the next generation a record of what we have learnt. Jessie C.
   Ducommun
   Cranes are remarkable and invaluable tools for hoisting and carrying:
   Like all other tools they have significantly increased humans' capacity
   to work; they marshal far more energy than can human or animal muscle.
   However, the large quantities of energy involved and the
   human-crane-environment interactions required result in there being a
   high potential for damage to occur to people and equipment. The current
   situation is that similar serious crane occurrences continue to
   repeatedly recur, albeit separated in terms of time and space. As a
   result, crane fatalities can be considered as endemic, at least; many
   would suggest epidemic. To gain sufficient insight into the aetiology of
   crane-related damage, and establish key focus areas for future control,
   there is a need to establish the pattern of crane-related damaging
   occurrences. To achieve this for fatalities, an approach was made to the
   US Occupational Safety and Health Administration (OSHA), which provided
   over 500 crane fatality narratives for the years 1985-1945. This
   information was scientifically organised using the taxonomic process
   involving observation, description and classification of the data into
   groups. The pattern is presented along with discussion regarding the
   application and limitations of the information. The data are intended to
   add to the information base of crane designers, owners and users in
   order to challenge the status quo and generate effective change for the
   future. (C) 2000 Elsevier Science Ltd. All rights reserved.}","{10.1016/S0925-7535(00)00017-5}","{0925-7535}","{ISI:000089451700002}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000088061300007","InProceedings","D Kashiwagi","{Artificial intelligent performance based procurement system}",NA,"{2000}",NA,NA,"{49-58}",NA,"{A new Performance Based Information System (PBIS)/Performance Based
   Procurement System (PBPS) is under development and testing. It harnesses
   the technological advancement of computer technology, information
   technology, and artificial intelligence. It is based on Information
   Measurement Theory (IMT). The research effort has been ongoing for the
   last five years, resulting in over \$2.5 million research and 150 tests
   in the private and public sectors. Current research partners include the
   states of Utah and Hawaii, the Federal Aviation Administration (FAA),
   United Air Lines, Peco Energy, the Sheet Metal and Air Conditioning
   National Association (SMACNA) and construction contractors and material
   manufacturers. The current and future deliverables of the research
   include unique ``genetic performance bar codes{''} for constructors and
   construction systems, an unbiased, artificially intelligent decision
   maker for identification of value, a(1)nd an information system that
   will replace minimum standards in all ``noncommodity{''} or ``risk{''}
   areas of construction.}",NA,NA,"{ISI:000088061300007}",NA,NA,NA,NA,"{Walsh, KD}","{CONSTRUCTION CONGRESS VI, PROCEEDING: BUILDING TOGETHER FOR A BETTER
   TOMORROW IN AN INCREASINGLY COMPLEX WORLD}","{0-7844-0475-5}","{6th Construction Congress on Building Together for a Better Tomorrow in
   an Increasingly Complex World, ORLANDO, FL, FEB 20-22, 2000}","{Construct Div Amer Soc Civil Engineers; Univ Florida, ME Rinker Sch
   Construct; Int Council Bldg Res Studies \& Documentat}",NA,NA
"ISI:000077381500009","Article","LL Smith","{Estimating US uranium reserves}","{JOM-JOURNAL OF THE MINERALS METALS \& MATERIALS SOCIETY}","{1998}","{50}","{12}","{41-43}","{DEC}","{This article presents information on the Energy Information
   Administration's (U.S. Department of Energy) annual estimates of U.S.
   uranium reserves. Encompassed is information for year-end 1997's uranium
   reserves, which were estimated by employing numerous resources.}","{10.1007/s11837-998-0306-6}","{1047-4838}","{ISI:000077381500009}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:A1997YB39400002","Article","YO Kim and RN Palmer","{Value of seasonal flow forecasts in Bayesian Stochastic Programming}","{JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT-ASCE}","{1997}","{123}","{6}","{327-335}","{NOV-DEC}","{This paper presents a Bayesian Stochastic Dynamic Programming (BSDP)
   model to investigate the value of seasonal flow forecasts in hydropower
   generation. The proposed BSDP framework generates monthly operating
   policies for the Skagit Hydropower System (SHS), which supplies energy
   to the Seattle metropolitan area. The objective function maximizes the
   total benefits resulting from energy produced by the SHS and its
   interchange with the Bonneville Power Administration. The BSDP-derived
   operating policies for the SHS are simulated using historical monthly
   inflows, as well as seasonal flow forecasts during 60 years from January
   1929 through December 1988. Performance of the BSDP model is compared
   with alternative stochastic dynamic programming models. To illustrate
   the potential advantage of using the seasonal how forecasts and other
   hydrologic information, the sensitivity of SHS operation is evaluated by
   varying (1) the reservoir capacity; (2) the energy demand; and (3) the
   energy price. The simulation results demonstrate that including the
   seasonal forecasts is beneficial to SHS operation.}","{10.1061/(ASCE)0733-9496(1997)123:6(327)}","{0733-9496}","{ISI:A1997YB39400002}","{Palmer, Richard/K-4432-2013}","{Palmer, Richard/0000-0002-7338-0468}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000180875100028","Article","U Noethlings and K Hoffmann and MM Bergmann and H Boeing","{Portion size adds limited information on variance in food intake of
   participants in the EPIC-Potsdam Study}","{JOURNAL OF NUTRITION}","{2003}","{133}","{2}","{510-515}","{FEB}","{Food-frequency questionnaire (FFQ) data should reflect interindividual
   variation and therefore measure variance in intake among populations. We
   conducted this analysis to evaluate the. relevance of separate portion
   size questions to the interindividual variation in food intake. The
   contribution of portion size questions to the variance in food intake
   was quantified and compared with the variance when group-specific
   portion sizes would be assigned, using 26,764 FFQ of the European
   Investigation into Cancer and Nutrition (EPIC)Potsdam Study. Groups were
   defined according to gender, age (<50y, greater than or equal to50y) or
   body mass index (BMI) (<26 kg/m(2), greater than or equal to26 kg/m(2)).
   The FFQ inquired about both consumption frequency and portion size.
   Linear regression models for each food item were fit with intake (g/d)
   as dependent variables and frequency of intake as independent variables.
   The mean coefficient of determination (R-2) for the different food items
   explained by frequency only Was 84.0\% (71.2-95.7\%). The R-2 for
   gender-, age- and BMI-specific frequencies of intake did not markedly
   alter the overall results. We conclude that the omission of individual
   portion size information would probably result in a notable reduction of
   interindividual variance. However, to reduce the respondents' burden and
   to increase data completeness in self-administration in large
   epidemiologic studies, the assignment of a constant portion size seems
   to be adequate. The variance was not increased markedly when constant
   gender-, age- and BMI-specific portion sizes were applied, thus
   supporting the assignment of an overall portion size.}",NA,"{0022-3166}","{ISI:000180875100028}","{Nothlings, Ute/B-2713-2010}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000341230000016","Article","Julien Gravier and Lucie Sancey and Samuli Hirsjaervi and Emilie Rustique and Catherine Passirani and Jean-Pierre Benoit and Jean-Luc Coll and Isabelle Texier","{FRET Imaging Approaches for in Vitro and in Vivo Characterization of
   Synthetic Lipid Nanoparticles}","{MOLECULAR PHARMACEUTICS}","{2014}","{11}","{9}","{3133-3144}","{SEP}","{DiI and DiD, two fluorophores able to interact by FRET (Forster
   resonance energy transfer), were coencapsulated in the core of lipid
   nanocapsules (LNCs) and nanoemulsions (LNEs), lipophilic reservoirs for
   the delivery of drugs. The ability of FRET imaging to provide
   information on the kinetics of dissociation of the nanopartides in the
   presence of bovine serum albumin (BSA) or whole serum, or after
   incubation with cancer cells, and after systemic administration in
   tumor-bearing mice, was studied. Both microscopic and macroscopic
   imaging was performed to determine the behavior of the nanostructures in
   a biological environment. When 2 mg/mL FRET LNEs or LNCs were dispersed
   in buffer, in the presence of unloaded nanoparticles, BSA, or in whole
   serum, the presence of serum was the most active in destroying the
   particles. This occurred immediately with a diminution of 20\% of FRET,
   then slowly, ending up with still 30\% intact nanoparticles at 24 h.
   LNCs were internalized rapidly in cultured cells with the FRET signal
   decreasing within the first minutes of incubation, and then a plateau
   was reached and LNCs remained intact during 3 h. In contrast, LNEs were
   poorly internalized and were rapidly dissociated after internalization.
   Following their iv injection, LNCs appeared very stable in subcutaneous
   tumors implanted in mice. Intact particles were found using microscopic
   FRET determination on tumor sections 24 h after injection, that
   correlated well with the 8\% calculated noninvasively on live animals.
   FRET investigations showed the potential to determine valid and reliable
   information about in vitro and in vivo behavior of nanoparticles.}","{10.1021/mp500329z}","{1543-8384}","{ISI:000341230000016}","{PASSIRANI, Catherine/K-4379-2015
   Benoit, Jean-Pierre/K-4387-2015}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000333538100039","Article","Yanwei Wang and F. Richard Yu and Helen Tang and Minyi Huang","{A Mean Field Game Theoretic Approach for Security Enhancements in Mobile
   Ad hoc Networks}","{IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS}","{2014}","{13}","{3}","{1616-1627}","{MAR}","{Game theory can provide a useful tool to study the security problem in
   mobile ad hoc networks (MANETs). Most of existing works on applying game
   theories to security only consider two players in the security game
   model: an attacker and a defender. While this assumption may be valid
   for a network with centralized administration, it is not realistic in
   MANETs, where centralized administration is not available. In this
   paper, using recent advances in mean field game theory, we propose a
   novel game theoretic approach with multiple players for security in
   MANETs. The mean field game theory provides a powerful mathematical tool
   for problems with a large number of players. The proposed scheme can
   enable an individual node in MANETs to make strategic security defence
   decisions without centralized administration. In addition, since
   security defence mechanisms consume precious system resources (e. g.,
   energy), the proposed scheme considers not only the security requirement
   of MANETs but also the system resources. Moreover, each node in the
   proposed scheme only needs to know its own state information and the
   aggregate effect of the other nodes in the MANET. Therefore, the
   proposed scheme is a fully distributed scheme. Simulation results are
   presented to illustrate the effectiveness of the proposed scheme.}","{10.1109/TWC.2013.122313.131118}","{1536-1276}","{ISI:000333538100039}",NA,NA,NA,"{1558-2248}",NA,NA,NA,NA,NA,NA,NA
"ISI:000330926200048","Article","Christoph M. Griessinger and Rainer Kehlbach and Daniel Bukala and Stefan Wiehr and Ruediger Bantleon and Funda Cay and Andreas Schmid and Heidi Braumueller and Birgit Fehrenbacher and Martin Schaller and Martin Eichner and Julie L. Sutcliffe and Walter Ehrlichmann and Oliver Eibl and Gerald Reischl and Simon R. Cherry and Martin Roecken and Bernd J. Pichler and Manfred Kneilling","{In Vivo Tracking of Th1 Cells by PET Reveals Quantitative and Temporal
   Distribution and Specific Homing in Lymphatic Tissue}","{JOURNAL OF NUCLEAR MEDICINE}","{2014}","{55}","{2}","{301-307}","{FEB}","{Although T cells can be labeled for noninvasive in vivo imaging, little
   is known about the impact of such labeling on T-cell function, and most
   imaging methods do not provide holistic information about trafficking
   kinetics, homing sites, or quantification. Methods: We developed
   protocols that minimize the inhibitory effects of
   Cu-64-pyruvaldehyde-bis(N4-methylthiosemicarbazone) (Cu-64-PTSM)
   labeling on T-cell function and permit the homing patterns of T cells to
   be followed by PET. Thus, we labeled ovalbumin (OVA) T-cell receptor
   transgenic interferon (IFN)-gamma-producing CD4(+) T (Th1) cells with
   0.7-2.2 MBq of Cu-64-PTSM and analyzed cell viability, IFN-gamma
   production, proliferation, apoptosis, and DNA double-strand breaks and
   identified intracellular Cu-64 accumulation sites by energy dispersive
   x-ray analysis. To elucidate the fate of Th1 cell homing by PET, 107
   Cu-64-OVA-Th1 cells were injected intraperitoneally or intravenously
   into healthy mice. To test the functional capacities of Cu-64-OVA-Th1
   cells during experimental OVA-induced airway hyperreactivity, we
   injected 10(7) Cu-64-OVA-Th1 cells intraperitoneally into OVA-immunized
   or nonimmunized healthy mice, which were challenged with OVA peptide or
   phosphate-buffered saline or remained untreated. In vivo PET
   investigations were followed by biodistribution, autoradiography, and
   fluorescence-activated cell sorting analysis. Results: PET revealed
   unexpected homing patterns depending on the mode of T-cell
   administration. Within 20 min after intraperitoneal administration,
   Cu-64-OVA-Th1 cells homed to the perithymic lymph nodes (LNs) of naive
   mice. Interestingly, intravenously administered Cu-64-OVA-Th1 cells
   homed predominantly into the lung and spleen but not into the perithymic
   LNs. The accumulation of Cu-64-OVA-Th1 cells in the pulmonary LNs (6.8
   +/- 1.1 percentage injected dose per cubic centimeter {[}\%ID/cm(3)]) 24
   h after injection was highest in the OVA-immunized and OVA-challenged
   OVA airway hyperreactivity-diseased littermates 24 h after
   intraperitoneal administration and lowest in the untreated littermates
   (3.7 +/- 0.4 \%ID/cm(3)). As expected, Cu-64-OVA-Th1 cells also
   accumulated significantly in the pulmonary LNs of nonimmunized
   OVA-challenged animals (6.1 +/- 0.5 \%ID/cm(3)) when compared with
   phosphate-buffered saline-challenged animals (4.6 +/- 0.5 \%ID/cm(3)).
   Conclusion: Our protocol permits the detection of Th1 cells in single
   LNs and enables temporal in vivo monitoring of T-cell homing over 48 h.
   This work enables future applications for Cu-64-PTSM-labeled T cells in
   clinical trials and novel therapy concepts focusing on T-cell-based
   immunotherapies of autoimmune diseases or cancer.}","{10.2967/jnumed.113.126318}","{0161-5505}","{ISI:000330926200048}","{Pichler, Bernd/B-4483-2012}",NA,NA,"{1535-5667}",NA,NA,NA,NA,NA,NA,NA
"ISI:000330079300005","Article","Marcelo Bergman and Fernando {Gabriel Cafferata}","{Sub-National Justice Prosecution in Mexico: Fiscal Spending and Efficacy
   of State Prosecution Offices}","{GESTION Y POLITICA PUBLICA}","{2013}",NA,"{2}","{157-194}",NA,"{This paper analyzes state criminal prosecution in Mexico. After
   collecting original data for spending and administration for each D.A.
   office over a span of six years, we examine the economic rationality and
   the efficacy of procurement of justice. We use accessed public data as
   well as information obtained from special requests to states for the
   years 2003-2008. The three most relevant findings are: First, the level
   of efficacy of states in justice prosecution is good, but they are
   extremely inefficient and barely effective. Second, for the large
   majority of states there is not economies of scale nor reductions of
   marginality costs in criminal prosecution. Third, state attorneys
   offices spend more energy and resources to solve petty crime cases than
   serious crimes.}",NA,"{1405-1079}","{ISI:000330079300005}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000283191100011","InCollection","Tamara J. Phillips and Raul Pastor and Angela C. Scibelli and Cheryl Reed and Ernesto Tarragon","{Behavioral Sensitization to Addictive Drugs: Clinical Relevance and
   Methodological Aspects}",NA,"{2011}","{50}",NA,"{267-305}",NA,"{Sensitization to the locomotor stimulant effects of abused drugs
   provides 3 behavioral measure thought to reflect underlying neural
   adaptations to repeated drug exposure. Neurochemical measures have
   provided information about the specific neural systems impacted and
   altered by repeated drug exposure. In pre-clinical studies, sensitized
   animals exhibit facilitated acquisition of drug self-administration and
   preference for cues associated with past drug experiences. This has
   suggested a role for sensitization in the development of drug abuse and
   in relapse. In humans, self-reports of sensitized vigor and energy
   levels have been described that may relate to the more direct
   measurements of locomotor sensitization in animals. Described in this
   chapter are methods used to measure psychomotor sensitization in mice,
   which are partially dependent upon the drug under investigation. The
   advantages to the use of mice in pre-clinical research are (1) that they
   readily sensitize to all drugs of abuse, (2) many methods have been
   developed for studying other aspects of their behavior that may be
   related to sensitization, and (3) they are an excellent species for
   genetic investigations aimed at determining susceptibility to behavioral
   sensitization and thus neuroadaptations related to drug abuse. Factors
   to consider when designing a study of drug-induced psychomotor
   sensitization include dose, number or treatments, frequency or interval
   between treatments and challenge, and duration of testing. First, a
   measure of baseline level of activity should be obtained, followed by
   measurement of the initial drug effect, measures of the change in
   initial effect with repeated administration, and a subsequent measure of
   baseline to see how it may have changed after repeated drug testing.
   Depending upon the goal of the research, a drug withdrawal period may be
   desirable, followed by another drug challenge to determine whether
   sensitization is still present. Such a withdrawal or ``incubation{''}
   period has been instated to allow for the establishment of long-term
   central nervous system changes that may accompany sensitization in
   studies of mechanism. The recommended frequency of dosing is dependent
   upon characteristics of the drug, particularly its clearance rate. More
   intermittent schedules of administration are particularly important for
   inducing robust sensitization to classical psychostimulant drugs like
   cocaine and methamphetamine. The recommended duration of:testing is
   influenced by the duration of drug effect, but data should be collected
   in isolated time units so that the time response curve can be examined.
   Finally, associative conditioning and stress-related factors can have
   large impacts on sensitization and should be carefully considered in all
   aspects of the research design, including whether drug treatment is
   linked to the test environment or not, density of housing, and specifics
   of handling.}","{10.1007/978-1-60761-883-6\_11}","{0893-2336}","{ISI:000283191100011}",NA,NA,NA,NA,"{Raber, J}","{ANIMAL MODELS OF BEHAVIORAL ANALYSIS}","{978-1-60761-882-9}",NA,NA,"{Neuromethods}",NA
