Title,RIN,Secondary RIN,Stage,Original Sheet,Unique ID,Release Date,Agency,Senate Committee,House Committee,Joint Committee,Number of Docket Comments from Regulations.gov,Number of Public Comments from regulations.gov,Number of Public Comments from Sunlight Foundation Docketwrench,"Number of Public Comments from Sunlight Foundation Docketwrench (after clicking ""View and Search Comments"")",Docket URL,Recognized Organization Commentators,Agency Code,Rule Summary,Bibliography,Comments,Double Check
Refuge Alternatives for Underground Coal Mines ,1219-AB58,,Final Rule,RIAMetaChelsea,11,16-Jun-08,Department of Labor,"Committee on Health, Education, Labor, and Pensions",N/A,,38,38,38,38,www.regulations.gov/#!docketDetail;D=MSHA-2008-0007,Micropore; Interwest Mining,1200,"The Mine Safety and Health Administration (MSHA) is proposing requirements for refuge alternatives in underground coal mines and the training of miners in their use. The proposed rule also includes requirements for testing and approval of refuge alternatives. The proposal would implement section 13 of the Mine Improvement and New Emergency Response (MINER) Act of 2006. Consistent with the MINER Act, it includes MSHA’s response to the National Institute for Occupational Safety and Health Report on Refuge Alternatives.",Yes,No scholarly journals found; explicit use of regulations though,
Lowering Miners' Exposure to Respirable Coal Mine Dust,1219-AB64,,Proposed Rule,RIAMeta2010-2011,14,19-Oct-10,Department of Labor ,N/A,N/A,,164,131,95,95,http://www.regulations.gov/#!docketDetail;D=MSHA-2010-0007,United Mine Workers of America; National Mining Association; Pennsylvania Coal Association; Bituminous Coal Operators Association; Indiana Coal Council; Arch Coal; Illinois Coal Association; Coal Operators & Association; West Virginia Coal Association; Murray Energy; George Washington University; Crowell & Moring; American Industrial Hygiene Association; Eastern Kentucky University; Alabama Coal Association; Thermo Fisher Scientific; Alpha Natural Resources; Indiana University; Ohio Coal Association; Rosebud Mining; Virginia Coal Association; University of Cincinnati; American Thoracic Society; Sierra Club; TECO Energy; 3M Co,1200,"The Mine Safety and Health Administration (MSHA) proposes to lower miners’ exposure to respirable coal-mine dust by revising the agency’s existing standards on miners’ occupational exposure to respirable coal-mine dust. The major provisions of the proposal would lower the existing exposure limit, provide for full-shift sampling, redefine the term ‘‘normal production shift,’’ add reexamination and decertification requirements for persons certified to sample, and maintain and calibrate sampling devices. In addition, the proposed rule would provide for single-shift compliance sampling under the mine operator and MSHA’s inspector sampling programs and would establish sampling requirements for use of the Continuous Personal Dust Monitor (CPDM) and expanded requirements for medical surveillance.",No,,
Application of the Fair Labor Standards Act to Domestic Service,1235-AA05,,Proposed Rule,RIAMetaChristina,9,27-Dec-11,Department of Labor,"Committee on Health, Education, Labor, and Pensions",Committee on Education and the Workforce,,9990,9807,9843,9749,http://www.regulations.gov/#!docketDetail;D=WHD-2011-0003,"American Federation of State/County/Municipal Employees; US Senate; Foss; National Private Duty Association; US House of Representatives; Silverman-Santucci; Emerson; Alliance for Retired Americans; National Women's Law Center; Mha; Tash; Arist; Avis; State of California; James Cooper-Hill; Cleveland-Cliffs; Thomson-CSF; Katy-Fm; Lawler-Wood; Friends Committee on National Legislation; Jones, Waldo et al; Private Care Association; Altarum Institute; LeadingAge; SEIU Healthcare; Americans for Limited Government; Artis; National Organization for Women; Hampshire College; Paralyzed Veterans of America; Nish; Csa; State of Washington; Hyatt; Farnsworth; Quintana; Gateway Inc; Bushnell",1200,"The Department of Labor (DOL) proposes to amend the regulations attached to the Fair Labor Standards Act (FLSA) to revise the definitions of ‘‘domestic service employment’’ and ‘‘companionship services’’ and to require employers of live-in domestic workers—known as Home Health Aides (HHA) or, if they carry out limited medical supervision, as Personal Care Aides (PCA)—to maintain an accurate record of hours worked by such employees. In addition, the proposed regulation would limit the scope of duties a companion may perform and prohibit employees of third-party employers from claiming the certain exemptions. Elimination of these exemptions would increase the number of live-in domestic workers covered under minimum wage laws, eligible for overtime pay, and eligible for compensation for time spent commuting between worksites.",No,,
"Schedule of Fees for Consular Services, Department of State and Overseas Embassies and Consulates",1400-AC41,,Proposed Rule,RIAMetaConnor,3,29-Jan-08,Department of State ,Committee on Foreign Relations,Committee on International Relations,,1,1,1,1,http://www.regulations.gov/#!docketDetail;D=DOS-2008-0002,None,1400,"The Department of State is revising the Schedule of Fees for Consular Services to reflect an increase in the surcharge related to consular services in support of enhanced border security and a reduction in the execution fee for the passport book. The Secretary of State is authorized to collect the border security surcharge by the Consolidated Appropriations Act, 2005 (Pub. L. 108–447). In 2007, Congress authorized the Secretary of State to administratively amend the surcharge amount in the Department of State Authorities Act of 2006 (Pub. L. 109–472). The Secretary is also authorized to set and collect a fee for executing passport applications by 22 U.S.C. 214",No,,
Risked-based Capital Guidelines: Market Risk,1557-AC99,7100-AD70; 3064-AD74; 2590-AA43; 3235-AK96; 2501-AD53,Proposed Rule,RIAMetaConnor,1,11-Jan-11,Joint Banking Regulators ,"Committee on Banking, Housing, and Urban Affairs",Committee on Financial Services,,51,47,46,46,http://www.regulations.gov/#!docketDetail;D=OCC-2006-0036,American Securitization Forum; American Bankers Association; Morgan Stanley; Mortgage Bankers Association; Ford Motor Credit Co; Davidson & Co; State Street Corp; Cmte on Capital Markets Regulation; Fitch Ratings; Zions Bank; Mortgage Insurance Companies of America; Commerical Real Estate Finance Council; RiskMetrics Group; Oregon Bankers Association; Financial Services Roundtable; Independent Community Bankers of America,,"The Office of the Comptroller of the Currency (OCC), Board of Governors of the Federal Reserve System (Board), and Federal Deposit Insurance Corporation (FDIC) are requesting comment on a proposal to revise their market risk capital rules to modify their scope to better capture positions for which the market risk capital rules are appropriate; reduce procyclicality in market risk capital requirements; enhance the rules’ sensitivity to risks that are not adequately captured under the current regulatory measurement methodologies; and increase transparency through enhanced disclosures. The proposal does not include the methodologies adopted by the Basel Committee on Banking Supervision for calculating the specific risk capital requirements for debt and securitization positions due to their reliance on credit ratings, which is impermissible under the Dodd-Frank Wall Street Reform and Consumer Protection Act.",No,,
Risk-Based Capital Guidelines; Capital Adequacy Guidelines; Capital Maintenance: Standardized Risk-Based Capital Rules (Basel II: Standardized Option),1557-AD07,,Proposed Rule,RIAMetaChristina,2,29-Jul-08,Joint Banking Regulators,N/A,N/A,,13,13,13,13,http://www.regulations.gov/#!docketDetail;D=OTS-2008-0002,Mortgage Bankers Association; State Street Corp; Mortgage Insurance Companies of America; National Bank; National Association of Realtors; Independent Community Bankers of America,,"The Office of the Comptroller of the Currency (OCC), Board of Governors of the Federal Reserve System (Board), Federal Deposit Insurance Corporation (FDIC), and Office of Thrift Supervision (OTS) (collectively, the agencies) propose a new risk-based capital framework (standardized framework) based on the standardized approach for credit risk and the basic indicator approach for operational risk described in the capital adequacy framework titled ‘‘International Convergence of Capital Measurement and Capital Standards: A Revised Framework’’ (New Accord) released by the Basel Committee on Banking Supervision. The standardized framework generally would be available, on an optional basis, to banks, bank holding companies, and savings associations (banking organizations) that apply the general risk-based capital rules",No,,
Air-Sea Biometrics,1601-AA34,,Proposed Rule,RIAMeta2008,2,24-Apr-08,Department of Homeland Security,N/A,N/A,,134,120,118,118,http://www.regulations.gov/#!docketDetail;D=DHS-2008-0039,None,1600,"DHS established the United States Visitor and Immigrant Status Indicator Technology Program (US-VISIT) in accordance with a series of legislative mandates requiring that DHS create an integrated automated entry-exit system that records the arrival and departure of aliens; verifies aliens’ identities; and authenticates travel documents. On January 5, 2004, DHS published an Interim Final Rule in the Federal Register at 69 FR 468 authorizing the Secretary of Homeland Security to require, in part, certain aliens to provide fingerprints, photograph[s], or other biometric identifiers, documentation of immigration status in the United States, and other such evidence as may be required to determine the alien’s identity and whether he or she has properly maintained immigration status while in the United States at the time of departure from the United States. The Interim Rule authorized the establishment of pilot programs at up to 15 air and sea ports of entry to evaluate the implementation of this departure procedure. That evaluation pilot has been completed and this proposed rule would establish procedures for collection of biometrics on air and sea departures by aliens. This rule removes the limit on the collection of this information from the 15 locations of the pilot programs and authorizes implementation at all air and sea ports of entry. This rule requires aliens to provide biometric identifiers at entry to provide biometric identifiers upon departure at any air and sea port of entry at which facilities exist to collect such information.",No,,
Ammonium Nitrate Security Program,1601-AA52,,Proposed Rule,RIAMetaChelsea,6,3-Aug-11,Department of Homeland Security,N/A,N/A,,143,132,129,128,http://www.regulations.gov/#!docketDetail;D=DHS-2008-0076,None,1600,This proposed rule would implement antiterrorism measures to better secure the homeland. The Department of Homeland Security would regulate the sale and transfer of ammonium nitrate pursuant to section 563 of the Fiscal Year 2008 Department of Homeland Security Appropriations Act with the purpose of preventing the use of ammonium nitrate in an act of terrorism. This proposed rule seeks comment on both the proposed text for such a regulation and on several practical and legal issues integral to the development of an Ammonium Nitrate Security Program.,No,Few Scholarly Journals found; Explicit Use of Regulations,
Standards for Living Organisms in Ships' Ballast Water Discharged in U.S. Waters,1625-AA32,,Final Rule,RIAMeta2009,3,29-Sep-12,Department of Homeland Security,"Committee on Commerce, Science, and Transportation",Committee on Transportation and Infrastructure,,479,481,475,473,http://www.regulations.gov/#!docketDetail;D=USCG-2001-10486,DHS; National Wildlife Federation; Izaak Walton League of America; Lake Carriers Association; Ocean Conservancy; US Department of the Interior; American Association of Port Authorities; Matson Navigation Co; International Association of Drilling Contractors; World Shipping Council; NEI Treatment Systems; University of Maryland; Crowley Maritime; Cruise Lines International Association; Regional Citizens Advisory Council; Transportation Institute; Chamber of Shipping of America; Nature Conservancy; American Steamship; Water Coalition; Alaska Sealife Center; Government of Canada; State of California; City of Chicago; Degussa Corp; Kirby Corp; Canal Barge Co; US Department of Commerce; Ingram Barge Co; Minnesota Department of Natural Resources; American Great Lakes Ports Association; American Roll-On Roll-Off Carrier; Environmental Protection Agency; Icicle Seafoods; Canadian Shipowners Association; Passenger Vessel Association; Edw C Levy Co; Interlake Steamship; Mh Systems; Great Lakes Maritime Task Force; ArcelorMittal; Tidewater Inc; American Commercial Lines; Cal Dive International; Harvey Gulf International Marine; Chamber of Marine Commerce; Cornell University; Pacific Merchant Shipping Association; Trout Unlimited; Old Dominion University; American Maritime Congress; PPG Industries; American Waterways Operators; California State Lands Commission; BP,1600,"This rulemaking would propose to add a performance standard to 33 CFR part 151, subpart D, for all ballast water management methods being used as alternatives to mid-ocean ballast water exchange. It supports the Coast Guard's strategic goals of marine safety and protection of natural resources. This project is significant due to high interest from Congress and several Federal and State agencies, as well as costs imposed on industry.  ",Yes,,
"Large Aircraft Security Program, Other Aircraft Operator Security Program, and Airport Operator Security Program",1652-AA53,,Proposed Rule,RIAMeta2008,1,30-Oct-08,Department of Homeland Security,N/A,N/A,,comment period open,,,,http://www.regulations.gov/#!docketDetail;D=TSA-2008-0021,,1600,"The Transportation Security Administration (TSA) proposes to amend current aviation transportation security regulations to enhance the security of general aviation by expanding the scope of current requirements and by adding new requirements for certain large aircraft operators and airports. The main objectives of the proposed rule are to merge the Partial, Private Charter, and Twelve-Five Standard Security Programs into a Large Aircraft Standard Security Program (LASP); to apply this LASP to general aviation operators using aircraft with a maximum certificated takeoff weight (MTOW) over 12,500 pounds (“large aircraft”); and to enhance the security of these operations. The LASP would have a core component based largely on the current Twelve-Five Security Program which would apply to all operators using large aircraft and two additional components which would incorporate requirements specific to the Private Charter and Twelve-Five All-Cargo Security Programs. So the main objectives of the proposed rule are: (1) To merge the partial, private charter and twelve-five programs into a large aircraft security program and to expand its scope to include general aviation operators using aircraft with a MTOW of over 12,500 pounds and (2) to enhance the security of these operations.",No,,
Special Community Disaster Loans Program,1660-AA44,,Final Rule,RIAMetaNick,4,3-Apr-09,Department of Homeland Security,"Committee on Banking, Housing, and Urban Affairs",Committee on Transportation and Infrastructure,,82,75,75,75,http://www.regulations.gov/#!docketDetail;D=FEMA-2005-0051,None,1600,"The Federal Emergency Management Agency (FEMA) proposes to amend its regulations regarding the Special Community Disaster Loans Program to implement loan cancellation provisions for Special Community Disaster Loans provided by FEMA to local governments in the Gulf region following Hurricanes Katrina and Rita. This rule does not propose the automatic cancellation of all Special Community Disaster Loans. This rule proposes procedures and requirements for governments who received Special Community Disaster Loans to apply for cancellation of loan obligations as authorized by the U.S. Troop Readiness, Veterans’ Care, Katrina Recovery, and Iraq Accountability Appropriations Act, 2007. The proposed procedures are intended to provide sufficient information to FEMA to determine when cancellation of a Special Community Disaster Loan, in whole or in part, is warranted. This proposed rule would not apply to any loans made under FEMA’s traditional Community Disaster Loan program which is governed under separate regulations.",no,RIA included in Rule Summary/no citations,"Confirmed, does not seem to be a specific RIA.  More of a justification instead."
"State Fiscal Stabilization Fund Program -- Notice of Proposed Requirements, Definitions, and Approval Criteria",1810-AB04,,Final Rule,RIAMetaChelsea,9,29-Jul-09,Department of Education,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,65,60,60,60,http://www.regulations.gov/#!docketDetail;D=ED-2009-OESE-0007,Council of Chief State School Officers; Education Trust; Florida Department of Education; Hartmann-Conco; Texas Classroom Teachers Association; Ohio Department of Education; National Association of Secondary School Principles; Center for American Progress; National Education Association; Alliance for Excellent Education; Council of the Great City Schools; New Leaders for New Schools; American Federation of Teachers; Deloitte LLP; HDNet; National Staff Development Council; Montana Office of Public Instruction; State of Washington; Google Inc; Democrats for Education Reform; Princeton University; Texas Education Agency; PepsiCo Inc; Illinois State Board of Education,1800,"The Secretary of Education proposes requirements, definitions, and approval criteria for the State Fiscal Stabilization Fund (Stabilization) program. One or more of these requirements, definitions, and approval criteria may be used in awarding funds under this program in fiscal year (FY) 2010. The requirements, definitions, and approval criteria proposed in this notice are based on the assurances regarding education reform that grantees are required to provide in exchange for receiving funds under the Stabilization program. We take this action to specify the data and information that grantees must collect and report with respect to those assurances and to help ensure grantees’ ability to collect and report the required data and information.",No,No scholarly journals found; no clear RIA stated within the document,"RIA not specifically listed, but there is a section that addresses Executive Order 12866 in which there are some citations"
"State Fiscal Stabilization Fund Program -- Notice of Proposed Requirements, Definitions, and Approval Criteria",1810-AB04,,Final Rule,RIAMeta2009,28,29-Jul-09,Department of Education,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,65,60,60,60,http://www.regulations.gov/#!docketDetail;D=ED-2009-OESE-0007,Council of Chief State School Officers; Education Trust; Florida Department of Education; Hartmann-Conco; Texas Classroom Teachers Association; Ohio Department of Education; National Association of Secondary School Principles; Center for American Progress; National Education Association; Alliance for Excellent Education; Council of the Great City Schools; New Leaders for New Schools; American Federation of Teachers; Deloitte LLP; HDNet; National Staff Development Council; Montana Office of Public Instruction; State of Washington; Google Inc; Democrats for Education Reform; Princeton University; Texas Education Agency; PepsiCo Inc; Illinois State Board of Education,1800,"The Secretary of Education proposes requirements, definitions, and approval criteria for the State Fiscal Stabilization Fund (Stabilization) program. One or more of these requirements, definitions, and approval criteria may be used in awarding funds under this program in fiscal year (FY) 2010. The requirements, definitions, and approval criteria proposed in this notice are based on the assurances regarding education reform that grantees are required to provide in exchange for receiving funds under the Stabilization program. We take this action to specify the data and information that grantees must collect and report with respect to those assurances and to help ensure grantees’ ability to collect and report the required data and information.",No,No RIA,"RIA not specifically listed, but there is a section that addresses Executive Order 12866 in which there are some citations"
"School Improvement Grants
",1810-AB06,,Final Rule,RIAMeta2009,17,26-Aug-09,Department of Education,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,187,186,186,185,http://www.regulations.gov/#!docketDetail;D=ED-2009-OESE-0010,American Federation of Teachers; Knowledge Alliance; College Board; AFL-CIO; Education Trust; Council of Chief State School Officers; Hillsborough County; Magnet Schools of America; National School Boards Association; Aspen Institute; Jobs for the Future; National Alliance for Public Charter Schools; Texas Classroom Teachers Association; National Association of Secondary School Principles; American School Counselor Association; Software & Information Industry Association; Education Industry Association; American Library Association; California Association for Bilingual Education; Center for American Progress; Educate Inc; Association of Educational Publishers; National Education Association; Alliance for Excellent Education; United Church of Christ; Council of the Great City Schools; United Federation of Teachers; Association of California School Administrator; New Leaders for New Schools; THINK Together; Illinois Principles Association; Afterschool Alliance; National Middle School Association; Communities in Schools Inc; New York State Education Department; NewSchools Venture Fund; National Staff Development Council; Wings for Kids; Appleseed; Montana Office of Public Instruction; National PTA; National Center on Time & Learning; National Youth Employment Coalition; Jefferson County Public Schools; First Focus; ACT Inc; Glsen; Children's Defense Fund; Council for Exceptional Children; Democrats for Education Reform; First Five Years Fund; Osceola County; Wesleyan University; Texas Education Agency,1800,"The U.S. Secretary of Education proposes requirements for School Improvement Grants authorized under section 1003(g) of Title I of the Elementary and Secondary Education Act of 1965, as amended (ESEA), and funded through both the Department of Education Appropriations Act, 2009 and the American Recovery and Reinvestment Act of 2009 (ARRA). The proposed requirements would define the criteria that a State educational agency (SEA) must use to award school improvement funds to local educational agencies (LEAs) with the lowest-achieving Title I schools that demonstrate the greatest need for the funds and the strongest commitment to use those funds to provide adequate resources to their lowest-achieving Title I schools in order to raise substantially the achievement of the students attending those schools. The proposed requirements also would require an SEA to give priority, through a waiver under section 9401 of the ESEA, to LEAs that also wish to serve the lowest-achieving secondary schools that are eligible for, but do not receive, Title I funds. Finally, the proposed requirements would require an SEA to award school improvement funds to eligible LEAs in amounts sufficient to enable the targeted schools to implement one of four specific proposed interventions",No,,
Race to the Top Fund,1810-AB07,,Final Rule,RIAMetaChristina,1,29-Jul-09,Department of Education,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,1199,1163,1161,1155,http://www.regulations.gov/#!docketDetail;D=ED-2009-OESE-0006,National Center for Learning Disabilities; University of Arkansas; Harvard University; Democrats for Education Reform; Education Trust; Council of Chief State School Officers; Florida Department of Education; Center for American Progress; State University of New York; Magnet Schools of America; National Education Association; Alliance for Excellent Education; Council of the Great City Schools; Teach for America; Association of California School Administrator; Kennesaw State University; Rodel Foundation; American Federation of Teachers; Economic Policy Institute; New York State Education Department; National Staff Development Council; National Youth Employment Coalition; University of Michigan; Duke University; Knowledge Alliance; Pew Charitable Trusts; College Board; Association of American Publishers; G.Brown; Columbia University; University of Hawaii; Worcester Polytechnic Institute; Boston College; State of North Carolina; Los Angeles Unified School District; Education Partnership; State of Iowa; Newspaper Association of America; State of California; US Senate; International Dyslexia Association; Mathematical Association of America; Association of Science Technology Centers; National Science Teachers Association; National Assembly on School-Based Healthcare; International Reading Association; National School Boards Association; Aspen Institute; Jobs for the Future; Hartmann-Conco; After-School Corp; After-School All-Stars; National Alliance for Public Charter Schools; Texas Classroom Teachers Association; Katy-Fm; National Association of Secondary School Principles; American School Counselor Association; Clark County; Software & Information Industry Association; Association of Public Television Stations; American Library Association; Shields Health Care Group; NC State University; Americans for the Arts; Association of Educational Publishers; Save the Children; United Church of Christ; Teachers of English; Alabama School of Fine Arts; American Councils for International Education; United Federation of Teachers; Emmanuel College; New Leaders for New Schools; Elon University; Metropolitan Community College; Rock School; National Association for Gifted Children; National Down Syndrome Society; National Association of Charter School Authorizers; THINK Together; Los Angeles County Office of Education; Mercyhurst College; St Joseph College; Howard County; Nobel Network of Charter Schools; Loyola Marymount University; Western Kentucky University; Generations Inc; San Francisco Unified School District; Communities in Schools Inc; San Diego Unified School District; Boston Public Schools; Association of Texas Professional Educators; Center for Summer Learning; Broad Foundation; Partnership for 21st Century Skills; Bill & Melinda Gates Foundation; National Association for Music Education; Preschool California; Children's Aid Society; Citizen Schools; National Women's Law Center; Hollins University; Performing Arts Alliance; Lesley University; Bucknell University; Connors Family Office; National Math & Science Initiative; Orange County Public Schools; University of Northern Colorado; San Francisco State University; Wings for Kids; Montana Office of Public Instruction; National PTA; National Center on Time & Learning; Educational Testing Service; Communities in Schools of Georgia; National Service Learning Partnership; National League of Cities; Bank Street College of Education; State of Washington; First Focus; Atlanta Public Schools; California Rural Legal Assistance; University of Oregon; California State University; Temple University; University of Illinois; University of Denver; National Disability Rights Network; Education Commission of the States; University of Minnesota; Graduate School; Florida State University; University of South Carolina; Scala; University of Louisiana; College of New Jersey; Glsen; Children's Defense Fund; National Down Syndrome Congress; Council for Exceptional Children; First Five Years Fund; Institute of International Education; Johns Hopkins University; Oregon State University; Texas Education Agency; New York University; University of Virginia; Illinois State Board of Education; State of West Virginia; Rutgers University; Yale University; SUNY/Albany; International Association for K-12 Online Learning; Green Dot Public Schools,1800,"The Secretary of Education proposes priorities, requirements, definitions, and selection criteria for the Race to the Top Fund. These priorities, requirements, definitions, and selection criteria may be used in any year in which this program is in effect. ",No,,
Race to the Top Fund,1810-AB07,,Final Rule,RIAMeta2009,31,29-Jul-09,Department of Education,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,1199,1163,1161,1155,http://www.regulations.gov/#!docketDetail;D=ED-2009-OESE-0006,National Center for Learning Disabilities; University of Arkansas; Harvard University; Democrats for Education Reform; Education Trust; Council of Chief State School Officers; Florida Department of Education; Center for American Progress; State University of New York; Magnet Schools of America; National Education Association; Alliance for Excellent Education; Council of the Great City Schools; Teach for America; Association of California School Administrator; Kennesaw State University; Rodel Foundation; American Federation of Teachers; Economic Policy Institute; New York State Education Department; National Staff Development Council; National Youth Employment Coalition; University of Michigan; Duke University; Knowledge Alliance; Pew Charitable Trusts; College Board; Association of American Publishers; G.Brown; Columbia University; University of Hawaii; Worcester Polytechnic Institute; Boston College; State of North Carolina; Los Angeles Unified School District; Education Partnership; State of Iowa; Newspaper Association of America; State of California; US Senate; International Dyslexia Association; Mathematical Association of America; Association of Science Technology Centers; National Science Teachers Association; National Assembly on School-Based Healthcare; International Reading Association; National School Boards Association; Aspen Institute; Jobs for the Future; Hartmann-Conco; After-School Corp; After-School All-Stars; National Alliance for Public Charter Schools; Texas Classroom Teachers Association; Katy-Fm; National Association of Secondary School Principles; American School Counselor Association; Clark County; Software & Information Industry Association; Association of Public Television Stations; American Library Association; Shields Health Care Group; NC State University; Americans for the Arts; Association of Educational Publishers; Save the Children; United Church of Christ; Teachers of English; Alabama School of Fine Arts; American Councils for International Education; United Federation of Teachers; Emmanuel College; New Leaders for New Schools; Elon University; Metropolitan Community College; Rock School; National Association for Gifted Children; National Down Syndrome Society; National Association of Charter School Authorizers; THINK Together; Los Angeles County Office of Education; Mercyhurst College; St Joseph College; Howard County; Nobel Network of Charter Schools; Loyola Marymount University; Western Kentucky University; Generations Inc; San Francisco Unified School District; Communities in Schools Inc; San Diego Unified School District; Boston Public Schools; Association of Texas Professional Educators; Center for Summer Learning; Broad Foundation; Partnership for 21st Century Skills; Bill & Melinda Gates Foundation; National Association for Music Education; Preschool California; Children's Aid Society; Citizen Schools; National Women's Law Center; Hollins University; Performing Arts Alliance; Lesley University; Bucknell University; Connors Family Office; National Math & Science Initiative; Orange County Public Schools; University of Northern Colorado; San Francisco State University; Wings for Kids; Montana Office of Public Instruction; National PTA; National Center on Time & Learning; Educational Testing Service; Communities in Schools of Georgia; National Service Learning Partnership; National League of Cities; Bank Street College of Education; State of Washington; First Focus; Atlanta Public Schools; California Rural Legal Assistance; University of Oregon; California State University; Temple University; University of Illinois; University of Denver; National Disability Rights Network; Education Commission of the States; University of Minnesota; Graduate School; Florida State University; University of South Carolina; Scala; University of Louisiana; College of New Jersey; Glsen; Children's Defense Fund; National Down Syndrome Congress; Council for Exceptional Children; First Five Years Fund; Institute of International Education; Johns Hopkins University; Oregon State University; Texas Education Agency; New York University; University of Virginia; Illinois State Board of Education; State of West Virginia; Rutgers University; Yale University; SUNY/Albany; International Association for K-12 Online Learning; Green Dot Public Schools,1800,"The Secretary of Education proposes priorities, requirements, definitions, and selection criteria for the Race to the Top Fund. These priorities, requirements, definitions, and selection criteria may be used in any year in which this program is in effect.",No,No RIA,"Section that addresses EO 12886 rather than an ""RIA"", citations found in the background section"
Teacher Education Assistance for College and Higher Education Grant Program,1840-AC93,,Final Rule,RIAMetaChristina,10,21-Mar-08,Department of Education,"Committee of Health, Education, Labor, and Pensions",Committee on Education and Labor,,133,133,133,132,http://www.regulations.gov/#!docketDetail;D=ED-2008-OPE-0001,American Library Assocation; University of Colorado; Illinois State; Nova Southeastern University; USC; University of Hawaii; Michigan State University; Career College Association; Louisiana Tech University; Brooklyn Public Library; Southern Utah University; Auburn University; Ohio Weslyan University; Portland State University; Western Governors University; School District of Philadelphia; University of Kentucky; University of North Carolina; University of Wisconsin-Madison; California State University; Ohio State University; Lander University; University of Memphis; San Diego State University; University of Maryland-Baltimore; Booz Allen Hamilton,1800,The Secretary proposes to amend title 34 of the Code of Federal Regulations to establish regulations for the Teacher Education Assistance for College and Higher Education (TEACH) Grant Program,No,No citations,Confirmed
"Federal Perkins Loan Program
",1840-AC94,,Final Rule,RIAMetaRitika,19,"Jul 1, 2008",Department of Education ,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,226,223,223,223,http://www.regulations.gov/#!docketDetail;D=ED-2008-OPE-0009,Legal Aid Society; Seattle University; Jumpstart; College Board; CUNY; Peace Corps; Columbia University; Widener University; Wake Forest University; State of North Carolina; American Bar Association; University of La Verne; After-School Corp; Catholic University of America; Education Assistance Foundation; American Association of University Women; University of New Mexico; National Council of Nonprofit Associations; California Community Colleges; Fordham University; Dallas Independent School District; Suffolk University; National Association of Social Workers; University of Kentucky; Georgetown University; American Medical Association; Boston University; Washington University in St. Louis; University of Denver; American Dental Education Association; St. John's University; Northeastern University; The New School; University of South Dakota; USA Funds; University of Maine; Mercer University; Duquesne University; University of Virginia,1800,"The Secretary proposes to amend the Federal Perkins Loan (Perkins Loan) Program, Federal Family Education Loan (FFEL) Program, and William D. Ford Federal Direct Loan (Direct Loan) Program regulations. These proposed regulations are needed to implement provisions of the Higher Education Act of 1965 (HEA), as amended by the College Cost Reduction and Access Act of 2007 (CCRAA)",No,No Citations in the RIA,Confirmed
General and Non-Loan Programmatic Issues,1840-AC99,,Final Rule,RIAMetaChristina,13,21-Aug-09,Department of Education,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,112,112,112,112,http://www.regulations.gov/#!docketDetail;D=ED-2009-OPE-0005,George Washington University; University of Hawaii; Adelphi University; AT Kearney; University of Missouri; Texas Guaranteed Student Loan Corp; Berea College; University of Pittsburgh; Michigan State University; Texas Christian University; Association of American Universities; Careers Education Corp; American Association of Cosmetology Schools; American Association of University Women; Devry University; Connecticut State University System; Ingersoll Rand; Northwestern Oklahoma State University; Security on Campus; Glendale Community College; Association of University Centers on Disabilities; Normandale Community College; University of Connecticut; Abilene Christian University; Bridgepoint Education; Corinthian Colleges; University of Nebraska; University of Michigan; University of Wisconsin-Madison; California State University; Purdue University; Colorado State University; University of South Carolina; Duke University; University of Phoenix; University of Iowa; University of Cincinnati; Human Rights Campaign; Rochester Institute of Technology,1800,"The Secretary of Education proposes to implement various general and non-loan provisions that were added to the Higher Education Act of 1965, as amended (HEA), by the Higher Education Opportunity Act of 2008 (HEOA) by amending the regulations for Institutional Eligibility Under the Higher Education Act of 1965, the Student Assistance General Provisions, the Federal Work-Study (FWS) Programs, the Teacher Education Assistance for College and Higher Education (TEACH) Grant Program, the Federal Pell Grant Program, and the Leveraging Educational Assistance Partnership Program (LEAP).",No,No citations,Found citations and entered
