	Distribution of Employment within Food Manufacturing (NAICS 311):	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Animal Slaughtering and Processing made up the largest share of both employment (33%) and the value of shipments (27%)	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Manufacturing: Geographic Area Series: Industry Statistics for the States, Metropolitan and Micropolitan Statistical Areas, Counties, and Places:	Department of Energy, Energy Information Administration.	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 00: EC0700A1: All Sectors: Geographic Area Series: Economy-Wide Key Statistics:	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 31: EC0731I1: Manufacturing: Industry Series: Detailed Statistics by Industry for the United States: 2007.â€ Accessed on	Firm Size Data from the Statistics of U.S. Businesses: U.S. Detail Employment Sizes:	Paper & Forest Products.	Assessing the Employment Impacts of Environmental and Natural Resource Policy.â€ Environmental and Resource Economics	Environmental regulation and labor demand: Evidence from the south coast air basin.	Do environmental regulations cost jobs? An industry-level analysis of the UK.	Transforming: The Dow Chemical Company	Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish.	Jobs versus the Environment: An Industry-Level Perspective.â€	What Determines the Value of Life?	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Chemicals.â€ Standard and Poorâ€™s Industry Surveys.	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.â€	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.â€ Environ. Sci. Technol.	Applying General Equilibrium. New York:	of Economic Analysis (BEA).	Producer Price Index. Series ID:PCU321â€”321â€”& PCUOMFGâ€”OMFGâ€”<http://www.bls.gov/ppi/home.htm&gt;. (Data accessed on	Producer Price Index. Series ID:PCU322â€“322â€“ & PCUOMFGâ€“OMFGâ€“.	of Labor Statistics (BLS).	Producer Price Index.â€ Series ID: PCU3313â€“ 3313â€“ & PCUOMFGâ€“OMFGâ€“.	Economic Census: Sector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Economic Census: Sector 22: Utilities: Geographic Area Series: Summary Statistics:	Census of Governments, Volume 4, Number 3, Finances of County Governments:	Census of Governments, Volume 4, Number 4, Finances of Municipal and Township Governments:	Exclusions from the Economic Census.â€	NAICS Definition.â€ sssd/naics/naicsrch?code=324&search=2002%20NAICS%20Search&gt;.	Department of Energy, Energy Information Administration. 2010d. â€œElectric Power Annual 2008: Table 8.1, Table 8.3, Table 8.4, Table 8.5,	Occupational Safety and Health Administration (OSHA).	As obtained on	Producer Price Indexes. Id: PCU311â€”311â€”Food Manufacturing & PCUOMFGâ€“OMFGâ€“Total Manufacturing&gt;.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	Environmental Protection Agency.	Regulatory Impact Analysis,	Regulatory Impact Analysis: National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry. Office of Air Quality Planning and Standards, Research Triangle Park,	Environmental Protection Agency (U.S.	Integrated Science Assessment for Particulate Matter (Final Report). EPA-600-R-08-139F. National Center for Environmental Assessmentâ€”RTP Division. December. Available at TO: Jim Eddinger, U.S. Environmental Protection Agency, OAQPS/SPPD FROM: Susan McClutchey, Amanda Singleton, and Graham Gibson,	Methodology for Estimating Control Costs for the Major Source Industrial, Commercial and Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants.	New Unit Analysis for Industrial, Commercial, and Institutional Boilers and Process Heaters at Major Sources.	Delivered Fuel Prices to Industrial and Commercial Clients.	Department of Energy, EIA. Annual Energy Outlook 2009. Table 2. Energy Consumption by Sector	MACT Floor Analysis for the Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	New Unit Analysis Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants â€“ Major Source.	Development of Baseline Emission Factors for Boilers and Process Heaters at Commercial, Industrial and Institutional Facilities.	Methodology for Developing Model Units for Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Department of Energy. Energy Information Administration. Annual Energy Outlook	Institute. Sector-Based Based Pollution Prevention: Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers.
Review of EPAÕs Integrated Science Assessment for Particulate Matter 	0.24137931034482762	0.30000000000000004	0.24528301886792447	0.29032258064516125	0.28888888888888886	0.2786885245901639	0.3770491803278688	0.34328358208955223	0.36	0.4358974358974359	0.19999999999999996	0.21739130434782605	0.2941176470588235	0.3913043478260869	0.25	0.3207547169811321	0.40909090909090906	0.21568627450980393	0.2941176470588235	0.2962962962962963	0.25806451612903225	0.41666666666666663	0.4	0.33333333333333337	0.46153846153846156	0.4871794871794872	0.4716981132075472	0.2549019607843137	0.31999999999999995	0.4	0.33333333333333337	0.3913043478260869	0.39622641509433965	0.32258064516129037	0.29166666666666663	0.45945945945945943	0.368421052631579	0.16000000000000003	0.23404255319148937	0.2558139534883721	0.24444444444444446	0.23333333333333328	0.24444444444444446	0.34246575342465757	0.2142857142857143	0.2222222222222222	0.26086956521739135	0.3214285714285714	0.288135593220339	0.26315789473684215	0.24137931034482762	0.2542372881355932	0.2549019607843137	0.25806451612903225	0.26530612244897955	0.1636363636363637
SAB Advisory on EPAÕs Issues in Valuing Mortality Risk Reduction	0.3220338983050848	0.3114754098360656	0.2962962962962963	0.3015873015873016	0.34782608695652173	0.29032258064516125	0.3548387096774194	0.3529411764705882	0.37254901960784315	0.44999999999999996	0.25	0.3191489361702128	0.34615384615384615	0.4893617021276596	0.30612244897959184	0.33333333333333337	0.4666666666666667	0.2692307692307693	0.3076923076923077	0.3090909090909091	0.3015873015873016	0.4285714285714286	0.41463414634146345	0.40625	0.4716981132075472	0.5	0.4814814814814815	0.3076923076923077	0.33333333333333337	0.4117647058823529	0.4181818181818182	0.4893617021276596	0.4444444444444444	0.39682539682539686	0.34693877551020413	0.4736842105263158	0.4137931034482759	0.21568627450980393	0.29166666666666663	0.2727272727272727	0.26086956521739135	0.24590163934426235	0.26086956521739135	0.3783783783783784	0.22807017543859653	0.2727272727272727	0.3191489361702128	0.33333333333333337	0.30000000000000004	0.31034482758620685	0.2542372881355932	0.2666666666666667	0.3076923076923077	0.2698412698412699	0.28	0.1785714285714286
Status of Electricity Restructuring by State	0.2941176470588235	0.3207547169811321	0.26086956521739135	0.34545454545454546	0.3157894736842105	0.33333333333333337	0.37037037037037035	0.4	0.2558139534883721	0.4375	0.29166666666666663	0.17948717948717952	0.2727272727272727	0.33333333333333337	0.2195121951219512	0.3913043478260869	0.3513513513513513	0.2272727272727273	0.36363636363636365	0.36170212765957444	0.34545454545454546	0.36585365853658536	0.33333333333333337	0.4642857142857143	0.5555555555555556	0.3125	0.5652173913043479	0.31818181818181823	0.2558139534883721	0.3023255813953488	0.4042553191489362	0.33333333333333337	0.4347826086956522	0.38181818181818183	0.2682926829268293	0.4	0.43999999999999995	0.2093023255813954	0.25	0.2777777777777778	0.21052631578947367	0.3207547169811321	0.26315789473684215	0.4242424242424242	0.30612244897959184	0.36170212765957444	0.3846153846153846	0.26530612244897955	0.3846153846153846	0.36	0.33333333333333337	0.34615384615384615	0.36363636363636365	0.38181818181818183	0.2857142857142857	0.25
Table 119 Implicit Price Deflators for Gross Domestic Product	0.3090909090909091	0.368421052631579	0.31999999999999995	0.288135593220339	0.33333333333333337	0.31034482758620685	0.4137931034482759	0.40625	0.36170212765957444	0.33333333333333337	0.34615384615384615	0.3023255813953488	0.33333333333333337	0.34883720930232553	0.24444444444444446	0.36	0.36585365853658536	0.29166666666666663	0.375	0.4117647058823529	0.35593220338983056	0.4666666666666667	0.5135135135135135	0.33333333333333337	0.4693877551020408	0.4444444444444444	0.43999999999999995	0.375	0.4042553191489362	0.36170212765957444	0.2941176470588235	0.4418604651162791	0.48	0.288135593220339	0.33333333333333337	0.47058823529411764	0.33333333333333337	0.36170212765957444	0.2727272727272727	0.44999999999999996	0.33333333333333337	0.368421052631579	0.47619047619047616	0.34285714285714286	0.39622641509433965	0.37254901960784315	0.2558139534883721	0.28301886792452835	0.3928571428571429	0.40740740740740744	0.4181818181818182	0.4285714285714286	0.25	0.38983050847457623	0.30434782608695654	0.34615384615384615
Annual Energy Outlook 2006 Early Release with Projections to 2030 Figure 3 Energy Consumption by Fuel 19802030 quadrillion Btu	0.2571428571428571	0.3055555555555556	0.29230769230769227	0.2702702702702703	0.4385964912280702	0.31506849315068497	0.28767123287671237	0.2911392405063291	0.3870967741935484	0.4901960784313726	0.34328358208955223	0.3793103448275862	0.3650793650793651	0.4137931034482759	0.3666666666666667	0.3846153846153846	0.5357142857142857	0.2698412698412699	0.4285714285714286	0.33333333333333337	0.3513513513513513	0.3666666666666667	0.5	0.30666666666666664	0.5	0.607843137254902	0.5076923076923077	0.33333333333333337	0.32258064516129037	0.4193548387096774	0.3939393939393939	0.48275862068965514	0.4461538461538461	0.2702702702702703	0.3666666666666667	0.5510204081632653	0.42028985507246375	0.3548387096774194	0.35593220338983056	0.4181818181818182	0.368421052631579	0.3055555555555556	0.4385964912280702	0.24705882352941178	0.32352941176470584	0.36363636363636365	0.4137931034482759	0.2647058823529411	0.3802816901408451	0.3913043478260869	0.37142857142857144	0.352112676056338	0.3650793650793651	0.3783783783783784	0.34426229508196726	0.31343283582089554
Annual Energy Outlook 2009 Table 2 Energy Consumption by Sector and Source	0.2666666666666667	0.25806451612903225	0.23636363636363633	0.3125	0.3191489361702128	0.3015873015873016	0.2698412698412699	0.30434782608695654	0.34615384615384615	0.46341463414634143	0.33333333333333337	0.29166666666666663	0.3207547169811321	0.33333333333333337	0.31999999999999995	0.34545454545454546	0.4782608695652174	0.28301886792452835	0.3584905660377359	0.2857142857142857	0.28125	0.31999999999999995	0.4285714285714286	0.3538461538461538	0.4814814814814815	0.5121951219512195	0.5272727272727273	0.24528301886792447	0.1923076923076923	0.3846153846153846	0.3571428571428571	0.41666666666666663	0.38181818181818183	0.28125	0.24	0.4358974358974359	0.423728813559322	0.23076923076923073	0.26530612244897955	0.33333333333333337	0.276595744680851	0.22580645161290325	0.3191489361702128	0.30666666666666664	0.31034482758620685	0.3571428571428571	0.375	0.06896551724137934	0.34426229508196726	0.35593220338983056	0.33333333333333337	0.34426229508196726	0.3584905660377359	0.34375	0.21568627450980393	0.26315789473684215
Assumptions to the Annual Energy Outlook 2008 With Projections for 2030	0.3114754098360656	0.3650793650793651	0.2142857142857143	0.3538461538461538	0.33333333333333337	0.40625	0.34375	0.34285714285714286	0.3207547169811321	0.47619047619047616	0.27586206896551724	0.30612244897959184	0.2962962962962963	0.34693877551020413	0.2941176470588235	0.3571428571428571	0.36170212765957444	0.2592592592592593	0.40740740740740744	0.33333333333333337	0.3538461538461538	0.37254901960784315	0.39534883720930236	0.3939393939393939	0.5272727272727273	0.5714285714285714	0.5714285714285714	0.2962962962962963	0.24528301886792447	0.39622641509433965	0.4385964912280702	0.3877551020408163	0.3928571428571429	0.2615384615384615	0.2549019607843137	0.55	0.43333333333333335	0.24528301886792447	0.24	0.30434782608695654	0.29166666666666663	0.2698412698412699	0.33333333333333337	0.3421052631578947	0.288135593220339	0.368421052631579	0.4285714285714286	0.22033898305084743	0.3870967741935484	0.4	0.34426229508196726	0.32258064516129037	0.37037037037037035	0.3538461538461538	0.23076923076923073	0.31034482758620685
Delivered Fuel Prices to Industrial and Commercial Clients	0.3076923076923077	0.33333333333333337	0.3191489361702128	0.3571428571428571	0.33333333333333337	0.34545454545454546	0.38181818181818183	0.3770491803278688	0.31818181818181823	0.2727272727272727	0.30612244897959184	0.25	0.28888888888888886	0.35	0.23809523809523814	0.3191489361702128	0.3157894736842105	0.33333333333333337	0.19999999999999996	0.29166666666666663	0.3214285714285714	0.5238095238095238	0.47058823529411764	0.29824561403508776	0.34782608695652173	0.5151515151515151	0.36170212765957444	0.28888888888888886	0.36363636363636365	0.2727272727272727	0.29166666666666663	0.35	0.4042553191489362	0.3928571428571429	0.33333333333333337	0.4193548387096774	0.33333333333333337	0.2727272727272727	0.31707317073170727	0.29729729729729726	0.28205128205128205	0.37037037037037035	0.33333333333333337	0.4029850746268657	0.31999999999999995	0.29166666666666663	0.0	0.36	0.3207547169811321	0.33333333333333337	0.34615384615384615	0.3584905660377359	0.11111111111111116	0.3214285714285714	0.3023255813953488	0.26530612244897955
Electric Power Annual 2008 Table 11	0.39622641509433965	0.4545454545454546	0.375	0.4385964912280702	0.5	0.4642857142857143	0.4285714285714286	0.4516129032258065	0.4666666666666667	0.47058823529411764	0.43999999999999995	0.36585365853658536	0.4347826086956522	0.46341463414634143	0.4883720930232558	0.41666666666666663	0.4871794871794872	0.34782608695652173	0.4782608695652174	0.4285714285714286	0.4385964912280702	0.39534883720930236	0.48571428571428577	0.4482758620689655	0.574468085106383	0.5294117647058824	0.5833333333333333	0.3913043478260869	0.37777777777777777	0.4666666666666667	0.4285714285714286	0.46341463414634143	0.5	0.26315789473684215	0.4418604651162791	0.4375	0.46153846153846156	0.37777777777777777	0.38095238095238093	0.3157894736842105	0.4	0.4545454545454546	0.35	0.4411764705882353	0.4509803921568627	0.4285714285714286	0.41463414634146345	0.33333333333333337	0.4444444444444444	0.42307692307692313	0.4716981132075472	0.4814814814814815	0.4347826086956522	0.5087719298245614	0.4545454545454546	0.4
Electric Power Annual 2008 Table 81 Table 83 Table 84 Table 85 Table 86	0.4035087719298246	0.4915254237288136	0.3846153846153846	0.4426229508196722	0.5454545454545454	0.4666666666666667	0.4666666666666667	0.4545454545454546	0.5102040816326531	0.5263157894736843	0.4814814814814815	0.4222222222222223	0.48	0.5111111111111111	0.5319148936170213	0.46153846153846156	0.5348837209302326	0.4	0.52	0.4716981132075472	0.47540983606557374	0.44680851063829785	0.5384615384615384	0.4516129032258065	0.5686274509803921	0.5789473684210527	0.5769230769230769	0.43999999999999995	0.4285714285714286	0.4285714285714286	0.4339622641509434	0.5111111111111111	0.46153846153846156	0.21311475409836067	0.4893617021276596	0.5	0.4642857142857143	0.4285714285714286	0.4347826086956522	0.38095238095238093	0.4545454545454546	0.4915254237288136	0.40909090909090906	0.41666666666666663	0.49090909090909096	0.4716981132075472	0.4666666666666667	0.38181818181818183	0.48275862068965514	0.4642857142857143	0.5087719298245614	0.5172413793103448	0.48	0.540983606557377	0.5	0.4444444444444444
Integrated Science Assessment for Sulfur OxidesÑHealth Criteria Final Report	0.23333333333333328	0.22580645161290325	0.2727272727272727	0.25	0.3191489361702128	0.2698412698412699	0.33333333333333337	0.33333333333333337	0.3076923076923077	0.41463414634146345	0.26315789473684215	0.29166666666666663	0.3207547169811321	0.33333333333333337	0.19999999999999996	0.38181818181818183	0.3913043478260869	0.2075471698113207	0.3207547169811321	0.2857142857142857	0.25	0.48	0.47619047619047616	0.29230769230769227	0.40740740740740744	0.5121951219512195	0.4181818181818182	0.24528301886792447	0.2692307692307693	0.3846153846153846	0.3214285714285714	0.33333333333333337	0.34545454545454546	0.40625	0.16000000000000003	0.4871794871794872	0.3220338983050848	0.2692307692307693	0.30612244897959184	0.4222222222222223	0.23404255319148937	0.19354838709677424	0.4042553191489362	0.33333333333333337	0.24137931034482762	0.2857142857142857	0.29166666666666663	0.27586206896551724	0.2786885245901639	0.3220338983050848	0.2666666666666667	0.2786885245901639	0.24528301886792447	0.28125	0.2549019607843137	0.19298245614035092
OAQPS Economic Analysis Resource Document	0.33333333333333337	0.3928571428571429	0.30612244897959184	0.3793103448275862	0.31707317073170727	0.4035087719298246	0.4035087719298246	0.4285714285714286	0.26086956521739135	0.4285714285714286	0.2941176470588235	0.33333333333333337	0.3191489361702128	0.38095238095238093	0.2727272727272727	0.34693877551020413	0.35	0.276595744680851	0.3191489361702128	0.31999999999999995	0.3793103448275862	0.40909090909090906	0.33333333333333337	0.423728813559322	0.45833333333333337	0.48571428571428577	0.4693877551020408	0.3191489361702128	0.26086956521739135	0.3913043478260869	0.48	0.38095238095238093	0.4693877551020408	0.3793103448275862	0.2272727272727273	0.4545454545454546	0.4716981132075472	0.13043478260869568	0.2558139534883721	0.23076923076923073	0.2195121951219512	0.25	0.2195121951219512	0.3623188405797102	0.3076923076923077	0.31999999999999995	0.2857142857142857	0.2692307692307693	0.34545454545454546	0.3207547169811321	0.33333333333333337	0.34545454545454546	0.3191489361702128	0.3448275862068966	0.24444444444444446	0.2549019607843137
Petroleum Supply Annuals Volume 1	0.36	0.42307692307692313	0.28888888888888886	0.37037037037037035	0.3513513513513513	0.39622641509433965	0.39622641509433965	0.4576271186440678	0.33333333333333337	0.3548387096774194	0.36170212765957444	0.42105263157894735	0.39534883720930236	0.42105263157894735	0.35	0.37777777777777777	0.33333333333333337	0.34883720930232553	0.34883720930232553	0.34782608695652173	0.40740740740740744	0.4	0.4375	0.4545454545454546	0.5909090909090908	0.5483870967741935	0.5555555555555556	0.34883720930232553	0.2857142857142857	0.38095238095238093	0.4347826086956522	0.4736842105263158	0.5555555555555556	0.40740740740740744	0.25	0.4482758620689655	0.5102040816326531	0.2857142857142857	0.28205128205128205	0.3142857142857143	0.2432432432432432	0.3846153846153846	0.29729729729729726	0.4769230769230769	0.375	0.34782608695652173	0.368421052631579	0.375	0.4117647058823529	0.3877551020408163	0.4	0.4117647058823529	0.39534883720930236	0.40740740740740744	0.31707317073170727	0.36170212765957444
Producer Price Indexes	0.5111111111111111	0.5319148936170213	0.44999999999999996	0.5102040816326531	0.4375	0.5416666666666667	0.5833333333333333	0.5925925925925926	0.5135135135135135	0.3076923076923077	0.4285714285714286	0.3939393939393939	0.4736842105263158	0.5151515151515151	0.37142857142857144	0.4	0.4838709677419355	0.42105263157894735	0.368421052631579	0.41463414634146345	0.4693877551020408	0.6	0.5555555555555556	0.48	0.33333333333333337	0.5384615384615384	0.35	0.4736842105263158	0.5135135135135135	0.5135135135135135	0.5121951219512195	0.3939393939393939	0.5	0.5102040816326531	0.4285714285714286	0.41666666666666663	0.40909090909090906	0.4054054054054054	0.3529411764705882	0.4666666666666667	0.375	0.4893617021276596	0.5	0.6	0.4418604651162791	0.41463414634146345	0.2727272727272727	0.5348837209302326	0.4782608695652174	0.4545454545454546	0.4666666666666667	0.4782608695652174	0.368421052631579	0.5102040816326531	0.4444444444444444	0.38095238095238093
10K Period ending December 31 2007	0.4509803921568627	0.5471698113207547	0.34782608695652173	0.49090909090909096	0.4736842105263158	0.5185185185185186	0.4444444444444444	0.4	0.5813953488372092	0.5625	0.5416666666666667	0.4358974358974359	0.40909090909090906	0.4871794871794872	0.46341463414634143	0.5217391304347826	0.5675675675675675	0.4545454545454546	0.5454545454545454	0.5319148936170213	0.5636363636363637	0.5609756097560976	0.6363636363636364	0.4285714285714286	0.4666666666666667	0.625	0.4782608695652174	0.5454545454545454	0.5348837209302326	0.5348837209302326	0.574468085106383	0.5897435897435898	0.4347826086956522	0.38181818181818183	0.5609756097560976	0.5333333333333333	0.52	0.4883720930232558	0.44999999999999996	0.4444444444444444	0.5263157894736843	0.5849056603773585	0.4736842105263158	0.5151515151515151	0.5510204081632653	0.574468085106383	0.4358974358974359	0.4693877551020408	0.6153846153846154	0.6	0.5686274509803921	0.5769230769230769	0.5	0.5636363636363637	0.5238095238095238	0.5416666666666667
Chemicals	0.5609756097560976	0.5813953488372092	0.5555555555555556	0.6	0.6428571428571428	0.6363636363636364	0.5909090909090908	0.64	0.5151515151515151	0.6363636363636364	0.5789473684210527	0.4482758620689655	0.5294117647058824	0.3793103448275862	0.4838709677419355	0.6111111111111112	0.4814814814814815	0.5294117647058824	0.47058823529411764	0.5675675675675675	0.6	0.6774193548387097	0.4782608695652174	0.6086956521739131	0.7142857142857143	0.6363636363636364	0.7222222222222222	0.47058823529411764	0.4545454545454546	0.5151515151515151	0.5135135135135135	0.4482758620689655	0.6111111111111112	0.6888888888888889	0.4838709677419355	0.6	0.65	0.5757575757575757	0.5333333333333333	0.5384615384615384	0.5	0.5813953488372092	0.5714285714285714	0.6785714285714286	0.5384615384615384	0.5675675675675675	0.4482758620689655	0.5897435897435898	0.5714285714285714	0.6	0.5609756097560976	0.5714285714285714	0.5294117647058824	0.6	0.625	0.5263157894736843
Export Supply Elasticities	0.375	0.43999999999999995	0.34883720930232553	0.46153846153846156	0.37142857142857144	0.4509803921568627	0.4117647058823529	0.4736842105263158	0.25	0.31034482758620685	0.37777777777777777	0.33333333333333337	0.41463414634146345	0.38888888888888884	0.3157894736842105	0.39534883720930236	0.4117647058823529	0.36585365853658536	0.36585365853658536	0.31818181818181823	0.3846153846153846	0.42105263157894735	0.4	0.4716981132075472	0.5238095238095238	0.3793103448275862	0.5348837209302326	0.31707317073170727	0.25	0.4	0.4545454545454546	0.33333333333333337	0.5348837209302326	0.46153846153846156	0.26315789473684215	0.4814814814814815	0.4893617021276596	0.30000000000000004	0.29729729729729726	0.33333333333333337	0.2571428571428571	0.4	0.3142857142857143	0.5238095238095238	0.3913043478260869	0.40909090909090906	0.38888888888888884	0.34782608695652173	0.4285714285714286	0.4042553191489362	0.41666666666666663	0.4285714285714286	0.36585365853658536	0.42307692307692313	0.33333333333333337	0.33333333333333337
Foods and Nonalcoholic Beverages	0.3877551020408163	0.37254901960784315	0.36363636363636365	0.4339622641509434	0.4444444444444444	0.42307692307692313	0.3846153846153846	0.4482758620689655	0.36585365853658536	0.4	0.34782608695652173	0.2432432432432432	0.33333333333333337	0.3513513513513513	0.33333333333333337	0.4545454545454546	0.4285714285714286	0.33333333333333337	0.38095238095238093	0.4222222222222223	0.4339622641509434	0.4871794871794872	0.4193548387096774	0.4444444444444444	0.5348837209302326	0.4666666666666667	0.5454545454545454	0.33333333333333337	0.41463414634146345	0.36585365853658536	0.33333333333333337	0.45945945945945943	0.40909090909090906	0.5471698113207547	0.3846153846153846	0.4285714285714286	0.45833333333333337	0.36585365853658536	0.368421052631579	0.3529411764705882	0.38888888888888884	0.4509803921568627	0.38888888888888884	0.5	0.36170212765957444	0.4222222222222223	0.29729729729729726	0.5319148936170213	0.4	0.45833333333333337	0.3877551020408163	0.4	0.33333333333333337	0.39622641509433965	0.44999999999999996	0.34782608695652173
Impact of Carbon Price Policies on US Industry	0.23636363636363633	0.22807017543859653	0.19999999999999996	0.2542372881355932	0.2857142857142857	0.27586206896551724	0.3448275862068966	0.3125	0.23404255319148937	0.33333333333333337	0.2692307692307693	0.2558139534883721	0.25	0.3023255813953488	0.19999999999999996	0.28	0.36585365853658536	0.25	0.20833333333333337	0.2941176470588235	0.22033898305084743	0.4222222222222223	0.4054054054054054	0.30000000000000004	0.3877551020408163	0.38888888888888884	0.4	0.20833333333333337	0.23404255319148937	0.276595744680851	0.2941176470588235	0.34883720930232553	0.4	0.3220338983050848	0.19999999999999996	0.4117647058823529	0.33333333333333337	0.23404255319148937	0.2272727272727273	0.35	0.23809523809523814	0.26315789473684215	0.2857142857142857	0.34285714285714286	0.24528301886792447	0.17647058823529416	0.2093023255813954	0.24528301886792447	0.2857142857142857	0.2222222222222222	0.2727272727272727	0.2857142857142857	0.20833333333333337	0.2542372881355932	0.26086956521739135	0.23076923076923073
Paper  Forest Products	0.4666666666666667	0.4893617021276596	0.4	0.4693877551020408	0.4375	0.5	0.5	0.5555555555555556	0.4054054054054054	0.0	0.4285714285714286	0.3939393939393939	0.4736842105263158	0.5151515151515151	0.37142857142857144	0.44999999999999996	0.4838709677419355	0.368421052631579	0.42105263157894735	0.36585365853658536	0.4693877551020408	0.6	0.6296296296296297	0.48	0.4871794871794872	0.46153846153846156	0.5	0.42105263157894735	0.45945945945945943	0.45945945945945943	0.41463414634146345	0.5151515151515151	0.55	0.5102040816326531	0.37142857142857144	0.41666666666666663	0.4545454545454546	0.4054054054054054	0.3529411764705882	0.4666666666666667	0.375	0.4893617021276596	0.5	0.5666666666666667	0.4883720930232558	0.46341463414634143	0.2727272727272727	0.5348837209302326	0.4782608695652174	0.5	0.5111111111111111	0.5217391304347826	0.3157894736842105	0.5102040816326531	0.4444444444444444	0.47619047619047616
Transforming The Dow Chemical Company 2007 10K and Stockholder Summary	0.22580645161290325	0.28125	0.22807017543859653	0.303030303030303	0.34693877551020413	0.32307692307692304	0.2615384615384615	0.23943661971830987	0.2962962962962963	0.4883720930232558	0.35593220338983056	0.31999999999999995	0.2727272727272727	0.19999999999999996	0.23076923076923073	0.4385964912280702	0.375	0.34545454545454546	0.34545454545454546	0.3793103448275862	0.33333333333333337	0.42307692307692313	0.5	0.31343283582089554	0.5	0.5348837209302326	0.5087719298245614	0.2727272727272727	0.2592592592592593	0.40740740740740744	0.31034482758620685	0.4	0.33333333333333337	0.2727272727272727	0.2692307692307693	0.5609756097560976	0.4098360655737705	0.33333333333333337	0.33333333333333337	0.44680851063829785	0.34693877551020413	0.28125	0.4285714285714286	0.35064935064935066	0.33333333333333337	0.3448275862068966	0.36	0.19999999999999996	0.3650793650793651	0.3770491803278688	0.3548387096774194	0.3650793650793651	0.34545454545454546	0.33333333333333337	0.28301886792452835	0.288135593220339
Income Statement Q4 2008 Financial Update Quarterly Report of the US ShareholderOwned Electric Utility Industry	0.2698412698412699	0.2615384615384615	0.31034482758620685	0.34328358208955223	0.36	0.36363636363636365	0.36363636363636365	0.3055555555555556	0.23636363636363633	0.4545454545454546	0.30000000000000004	0.33333333333333337	0.3571428571428571	0.37254901960784315	0.24528301886792447	0.3793103448275862	0.4285714285714286	0.3214285714285714	0.3571428571428571	0.38983050847457623	0.31343283582089554	0.4716981132075472	0.4666666666666667	0.32352941176470584	0.4385964912280702	0.5454545454545454	0.48275862068965514	0.25	0.2727272727272727	0.38181818181818183	0.3220338983050848	0.4117647058823529	0.3793103448275862	0.28358208955223885	0.24528301886792447	0.5714285714285714	0.4193548387096774	0.2727272727272727	0.34615384615384615	0.45833333333333337	0.31999999999999995	0.2615384615384615	0.4	0.28205128205128205	0.34426229508196726	0.3220338983050848	0.37254901960784315	0.2786885245901639	0.34375	0.32258064516129037	0.3650793650793651	0.375	0.3214285714285714	0.34328358208955223	0.2962962962962963	0.30000000000000004
SectorBased Based Pollution Prevention Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers	0.24590163934426235	0.17460317460317465	0.2142857142857143	0.19999999999999996	0.29166666666666663	0.21875	0.28125	0.2857142857142857	0.28301886792452835	0.47619047619047616	0.1724137931034483	0.22448979591836737	0.2592592592592593	0.30612244897959184	0.21568627450980393	0.2857142857142857	0.4042553191489362	0.18518518518518523	0.2222222222222222	0.26315789473684215	0.16923076923076918	0.4509803921568627	0.34883720930232553	0.33333333333333337	0.4545454545454546	0.47619047619047616	0.4642857142857143	0.18518518518518523	0.24528301886792447	0.3584905660377359	0.33333333333333337	0.30612244897959184	0.3571428571428571	0.32307692307692304	0.2549019607843137	0.5	0.33333333333333337	0.16981132075471694	0.24	0.26086956521739135	0.25	0.17460317460317465	0.25	0.2894736842105263	0.15254237288135597	0.22807017543859653	0.26530612244897955	0.2542372881355932	0.19354838709677424	0.23333333333333328	0.180327868852459	0.19354838709677424	0.2222222222222222	0.19999999999999996	0.2692307692307693	0.0
