	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Prevalence and Trends in Obesity Among US	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Size Matters The Influence of Adolescent’s Weight and	SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	Will all Americans become Overweight or Obese Estimating the Progression and	Department of Health and Human Services and US Department of Agriculture “2010 Dietary Guidelines for Americans” 7th ed Washington DC US Government Printing Office	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	Nutrient Contribution of Food Away From Home In Americaaposs Eating Habits Changes and Consequences	Separating what We Eat from where	Foundation “Menu Labeling Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior” Healthy Eating Research	Taxing Caloric Sweetened Beverages Potential Effects on	FDA Labeling Cost Model Final Report” Prepared for Amber Jessup DHHSPHSFDACFSAN Prepared by	Silliker Information” Memo to File	Online Appendix for ‘Are Restaurants Really Supersizing America’”	Testing Laboratory “Quality Nutrition Analysis”	Evaluation Of Recordkeeping Costs For Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin DHHSPHSFDACFSAN Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	FDA Report” ReCount Restaurant Census	Under the Radar Top 50	Acquisition Pace Quickens in 2010 but Despite Consolidation Top Chains Still Account for Nearly 40	Sector 72 Sub Single Unit  Multiunit Firms for the US	Insights “New menu items at restaurants” Memo to File	Display Signs  Design “OrderGet Menu Pricing” website httpwwwdsdsigncomPagesmenus3htm accessed on October 6	McDonald’s meeting	Sector 72 Sub Seating Capacity for the US and States	Statistics “Job Openings and Labor Turnover Survey Accommodation and food services	Paying Attention to Retention”	KFC’s New ComputerBased Training Program Proves a Time Saver and Better Tool for	Statistics “Occupational Employment Statistics Query System	Consumer Awareness of FastFood Calorie Information in New York City After Implementation of a Menu Labeling Regulation”	Calorie Posting in Chain Restaurants	Purchasing Behavior and Calorie Information at FastFood Chains in	The Psychology of Food Consumption Strategies for Promoting Healthier Food Choices” American Economic Review	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Measuring the Health of the US Population” Brookings Paper Microeconomics	ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Modeling WeightLoss Maintenance to Help Prevent Body Weight Regain”	Sectors 4445 Sub Single Unit  Multiunit Firms for the US	Sector 71 Sub Single Unit  Multiunit Firms for the US	Sector 51 Sub Single Unit  Multiunit Firms for the US	Association	Association When American Flies it Works	Global Airline Industry Program “Total Operating Fleet” Airline Data Project	Global Airline Industry Program “Average Seat Capacity of Total Operating Fleet” Airline Data Project	Transportation Statistics “Appendix D – Modal Profiles Rail Profile” National Transportation Statistics	The Partner of Choice Annual Report FY	Transportation Statistics National Census of Ferry Operators
The Growth of Obesity and Technological Change A Theoretical and Empirical Examination	0.61	0.5	0.61	0.6	0.61	0.61	0.52	0.64	0.56	0.25	0.63	0.65	0.61	0.0	0.39	0.62	0.61	0.63	0.6	0.7	0.6699999999999999	0.65	0.69	0.63	0.65	0.64	0.63	0.6799999999999999	0.65	0.7	0.6	0.6599999999999999	0.65	0.6599999999999999	0.6599999999999999	0.71	0.6	0.5900000000000001	0.6	0.62	0.64	0.5900000000000001	0.6599999999999999	0.64	0.6	0.63	0.63	0.69	0.6799999999999999	0.64	0.63	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.45999999999999996	0.5800000000000001	0.62	0.63	0.63	0.5800000000000001	0.64
Annual Medical Spending Attributable to Obesity Payerand ServiceSpecific Estimates	0.62	0.61	0.6	0.6	0.5700000000000001	0.5700000000000001	0.6	0.64	0.6599999999999999	0.42000000000000004	0.0	0.6	0.6	0.63	0.61	0.61	0.61	0.64	0.6	0.6799999999999999	0.64	0.6	0.65	0.63	0.62	0.69	0.64	0.63	0.62	0.6599999999999999	0.55	0.6	0.63	0.54	0.62	0.6599999999999999	0.6599999999999999	0.62	0.65	0.64	0.6799999999999999	0.64	0.6	0.64	0.64	0.5800000000000001	0.62	0.69	0.63	0.5700000000000001	0.61	0.65	0.63	0.63	0.64	0.6	0.65	0.64	0.64	0.6599999999999999	0.64
Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children	0.5	0.63	0.6	0.6	0.64	0.65	0.63	0.64	0.61	0.63	0.5700000000000001	0.62	0.5900000000000001	0.65	0.62	0.5900000000000001	0.52	0.51	0.5700000000000001	0.62	0.5900000000000001	0.54	0.61	0.5900000000000001	0.49	0.64	0.6	0.61	0.55	0.65	0.6	0.6	0.6	0.63	0.64	0.64	0.5900000000000001	0.48	0.53	0.6	0.5800000000000001	0.54	0.48	0.49	0.61	0.0	0.62	0.65	0.63	0.64	0.61	0.61	0.61	0.61	0.55	0.53	0.6699999999999999	0.63	0.63	0.56	0.6
Calorie Posting in Chain Restaurants	0.33999999999999997	0.64	0.5900000000000001	0.54	0.5900000000000001	0.62	0.5900000000000001	0.6699999999999999	0.5900000000000001	0.6699999999999999	0.64	0.5900000000000001	0.62	0.5900000000000001	0.53	0.48	0.63	0.56	0.56	0.56	0.6699999999999999	0.48	0.62	0.53	0.5	0.69	0.53	0.62	0.5	0.64	0.65	0.56	0.62	0.56	0.5900000000000001	0.64	0.48	0.0	0.5	0.5900000000000001	0.48	0.44999999999999996	0.64	0.53	0.64	0.48	0.62	0.62	0.53	0.61	0.62	0.64	0.62	0.62	0.64	0.5900000000000001	0.62	0.62	0.5900000000000001	0.56	0.56
The LongRun Growth in Obesity as a Function of Technological Change	0.65	0.56	0.6	0.54	0.54	0.5900000000000001	0.5700000000000001	0.62	0.5800000000000001	0.5	0.6699999999999999	0.6	0.62	0.36	0.0	0.62	0.64	0.62	0.62	0.69	0.64	0.6599999999999999	0.63	0.65	0.65	0.64	0.5900000000000001	0.65	0.62	0.6599999999999999	0.65	0.64	0.65	0.6	0.6599999999999999	0.69	0.5900000000000001	0.53	0.5800000000000001	0.6	0.63	0.6	0.6	0.6	0.61	0.6	0.65	0.69	0.63	0.5900000000000001	0.6599999999999999	0.6699999999999999	0.65	0.65	0.55	0.63	0.6799999999999999	0.5700000000000001	0.6599999999999999	0.5800000000000001	0.64
Is the Obesity Epidemic a Public Health Problem A Decade of Research on the Economics of Obesity	0.61	0.0	0.5900000000000001	0.6699999999999999	0.5700000000000001	0.64	0.55	0.6	0.5800000000000001	0.33999999999999997	0.61	0.6	0.63	0.5800000000000001	0.6	0.6699999999999999	0.61	0.63	0.5900000000000001	0.6599999999999999	0.6699999999999999	0.6799999999999999	0.6699999999999999	0.65	0.5900000000000001	0.55	0.63	0.63	0.62	0.63	0.65	0.62	0.64	0.63	0.63	0.69	0.65	0.5900000000000001	0.64	0.5800000000000001	0.62	0.63	0.6	0.6699999999999999	0.6	0.6	0.56	0.5700000000000001	0.5800000000000001	0.5700000000000001	0.64	0.65	0.63	0.63	0.64	0.6	0.65	0.6699999999999999	0.63	0.5800000000000001	0.64
The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US	0.5900000000000001	0.56	0.5900000000000001	0.6	0.54	0.55	0.0	0.64	0.5800000000000001	0.20999999999999996	0.63	0.62	0.5900000000000001	0.51	0.5800000000000001	0.64	0.64	0.6599999999999999	0.62	0.6799999999999999	0.6699999999999999	0.6799999999999999	0.63	0.6	0.5900000000000001	0.6	0.6599999999999999	0.51	0.65	0.6699999999999999	0.65	0.56	0.62	0.6599999999999999	0.65	0.6	0.61	0.5900000000000001	0.5700000000000001	0.61	0.64	0.5900000000000001	0.62	0.55	0.6	0.62	0.63	0.61	0.6599999999999999	0.54	0.64	0.54	0.51	0.51	0.55	0.5800000000000001	0.63	0.65	0.65	0.61	0.5900000000000001
Social Network and Weight Misperception among Adolescents	0.5800000000000001	0.6699999999999999	0.6	0.54	0.5700000000000001	0.5700000000000001	0.5800000000000001	0.56	0.5	0.63	0.6699999999999999	0.5800000000000001	0.62	0.6	0.62	0.62	0.64	0.62	0.62	0.65	0.5900000000000001	0.65	0.63	0.62	0.65	0.69	0.65	0.63	0.61	0.64	0.6	0.6	0.6	0.6	0.64	0.64	0.5700000000000001	0.5900000000000001	0.6	0.62	0.64	0.5800000000000001	0.64	0.6	0.64	0.62	0.64	0.71	0.6699999999999999	0.64	0.5800000000000001	0.65	0.63	0.63	0.45999999999999996	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.6	0.6599999999999999	0.62
Body Weight SelfPerception and Mental Health Among Adolescents	0.65	0.56	0.63	0.6699999999999999	0.47	0.49	0.6	0.5700000000000001	0.030000000000000027	0.63	0.6699999999999999	0.63	0.6	0.6	0.65	0.5900000000000001	0.55	0.5800000000000001	0.5900000000000001	0.62	0.62	0.65	0.63	0.6	0.65	0.64	0.62	0.6699999999999999	0.6	0.65	0.55	0.64	0.65	0.6	0.65	0.65	0.5700000000000001	0.5900000000000001	0.65	0.5900000000000001	0.65	0.6	0.62	0.6	0.63	0.6	0.63	0.71	0.6699999999999999	0.64	0.5900000000000001	0.6799999999999999	0.6699999999999999	0.6699999999999999	0.55	0.5800000000000001	0.62	0.6	0.63	0.5800000000000001	0.65
Do Nutrition Labels Improve Dietary Outcomes	0.5	0.61	0.62	0.54	0.6599999999999999	0.6	0.62	0.71	0.64	0.55	0.64	0.6	0.6	0.6599999999999999	0.6	0.6	0.61	0.53	0.62	0.6	0.64	0.6599999999999999	0.6	0.62	0.65	0.69	0.6	0.6599999999999999	0.64	0.6599999999999999	0.6	0.64	0.55	0.6599999999999999	0.5700000000000001	0.55	0.6	0.64	0.64	0.6	0.62	0.64	0.0	0.6599999999999999	0.69	0.48	0.6	0.6599999999999999	0.62	0.5700000000000001	0.64	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.73	0.5800000000000001	0.6	0.6	0.5700000000000001	0.6599999999999999	0.55
Bias discrimination and Obesity	0.52	0.65	0.62	0.6699999999999999	0.52	0.49	0.49	0.65	0.62	0.47	0.52	0.55	0.62	0.55	0.62	0.5900000000000001	0.65	0.52	0.65	0.6799999999999999	0.62	0.65	0.62	0.5900000000000001	0.6799999999999999	0.69	0.55	0.71	0.65	0.65	0.65	0.61	0.52	0.65	0.55	0.5900000000000001	0.49	0.55	0.52	0.62	0.65	0.55	0.5900000000000001	0.62	0.62	0.65	0.6799999999999999	0.6799999999999999	0.45999999999999996	0.5900000000000001	0.62	0.71	0.71	0.71	0.37	0.52	0.62	0.62	0.55	0.6799999999999999	0.55
Measuring the Health of the US Population	0.5900000000000001	0.5700000000000001	0.54	0.6	0.6799999999999999	0.5900000000000001	0.61	0.64	0.5800000000000001	0.5	0.62	0.5700000000000001	0.54	0.61	0.61	0.5900000000000001	0.49	0.5700000000000001	0.5900000000000001	0.5900000000000001	0.7	0.64	0.5900000000000001	0.61	0.7	0.55	0.5700000000000001	0.5900000000000001	0.64	0.61	0.65	0.51	0.61	0.5700000000000001	0.64	0.6599999999999999	0.54	0.64	0.54	0.5700000000000001	0.61	0.54	0.64	0.5900000000000001	0.5700000000000001	0.54	0.0	0.5900000000000001	0.64	0.54	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.45999999999999996	0.65	0.61	0.54	0.5700000000000001	0.61	0.61
OrderGet Menu Pricing website	0.63	0.63	0.56	0.6	0.56	0.5900000000000001	0.56	0.63	0.63	0.6699999999999999	0.63	0.5900000000000001	0.52	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.6599999999999999	0.56	0.56	0.63	0.6599999999999999	0.5900000000000001	0.6599999999999999	0.63	0.63	0.64	0.63	0.63	0.63	0.10999999999999999	0.7	0.6599999999999999	0.6599999999999999	0.69	0.63	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.63	0.56	0.6599999999999999	0.56	0.63	0.52	0.6599999999999999	0.56	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.69	0.63	0.6599999999999999	0.63	0.63	0.73	0.52	0.63	0.63	0.6599999999999999	0.6599999999999999	0.69
